1774263220.3662226; w; keydown
1774263220.4279788; w; keyup
1774263220.4879239; a; keydown
1774263220.6158857; a; keyup
1774263221.0822167; .; keydown
1774263221.1440315; .; keyup
1774263221.4927187; Key.enter; keydown
1774263221.5702822; Key.enter; keyup
1774263223.390489; Key.shift_r; keydown
1774263223.7784185; P; keydown
1774263223.8440635; Key.shift_r; keyup
1774263223.870072; p; keyup
1774263223.9881475; o; keydown
1774263224.0940447; o; keyup
1774263224.9103558; Key.backspace; keydown
1774263225.0060387; Key.backspace; keyup
1774263225.1752007; Key.alt_r; keydown
1774263225.5845764; o; keydown
1774263225.702153; o; keyup
1774263225.762024; Key.alt_r; keyup
1774263226.1621737; Key.alt_r; keydown
1774263226.3501563; x; keydown
1774263226.393988; x; keyup
1774263226.65433; Key.alt_r; keyup
1774263227.2322206; n; keydown
1774263227.3065927; i; keydown
1774263227.3663368; n; keyup
1774263227.3921154; i; keyup
1774263227.4960995; j; keydown
1774263227.5581596; j; keyup
1774263227.8823478; Key.backspace; keydown
1774263228.010146; Key.backspace; keyup
1774263228.0182116; e; keydown
1774263228.090253; e; keyup
1774263228.3502629; j; keydown
1774263228.4841661; j; keyup
1774263228.4983578; Key.space; keydown
1774263228.5723312; Key.space; keyup
1774263228.9323614; w; keydown
1774263229.0261161; w; keyup
1774263229.1542766; Key.alt_r; keydown
1774263229.2491796; l; keydown
1774263229.3321762; Key.alt_r; keyup
1774263229.3400302; l; keyup
1774263229.878545; Key.alt_r; keydown
1774263230.0884047; a; keydown
1774263230.1764007; a; keyup
1774263230.2241488; Key.alt_r; keyup
1774263230.4546952; c; keydown
1774263230.5392036; c; keyup
1774263230.6588223; z; keydown
1774263230.7342541; z; keyup
1774263230.778405; Key.space; keydown
1774263230.830147; Key.space; keyup
1774263231.284361; t; keydown
1774263231.358204; t; keyup
1774263231.4405832; Key.alt_r; keydown
1774263231.5444615; e; keydown
1774263231.6201954; e; keyup
1774263231.6422899; Key.alt_r; keyup
1774263232.0421908; Key.space; keydown
1774263232.12022; Key.space; keyup
1774263232.378519; s; keydown
1774263232.4701946; s; keyup
1774263232.5023963; i; keydown
1774263232.5741606; i; keyup
1774263232.5885398; e; keydown
1774263232.6689625; e; keyup
1774263232.7104912; Key.alt_r; keydown
1774263232.8202631; c; keydown
1774263232.9281738; c; keyup
1774263232.9641142; Key.alt_r; keyup
1774263233.9126594; ,; keydown
1774263233.978713; Key.space; keydown
1774263233.992127; ,; keyup
1774263234.042006; Key.space; keyup
1774263234.2101867; p; keydown
1774263234.3181958; r; keydown
1774263234.3243377; p; keyup
1774263234.3843205; r; keyup
1774263234.5523822; z; keydown
1774263234.616176; z; keyup
1774263234.7464192; e; keydown
1774263234.8159313; e; keyup
1774263236.032536; m; keydown
1774263236.102175; m; keyup
1774263236.282442; y; keydown
1774263236.3450627; y; keyup
1774263236.398777; s; keydown
1774263236.4862554; s; keyup
1774263236.804538; Key.backspace; keydown
1774263236.9142845; Key.backspace; keyup
1774263237.382133; Key.alt_r; keydown
1774263237.4712574; s; keydown
1774263237.5121913; Key.alt_r; keyup
1774263237.5484896; s; keyup
1774263238.2204444; l; keydown
1774263238.3104138; l; keyup
1774263238.4708014; Key.space; keydown
1774263238.544283; Key.space; keyup
1774263238.800469; b; keydown
1774263238.8663864; b; keyup
1774263238.9067557; Key.alt_r; keydown
1774263238.9744587; l; keydown
1774263239.0622177; Key.alt_r; keyup
1774263239.076125; l; keyup
1774263239.1563973; Key.alt_r; keydown
1774263239.256672; a; keydown
1774263239.3682725; a; keyup
1774263239.3700628; Key.alt_r; keyup
1774263239.528637; d; keydown
1774263239.6104481; d; keyup
1774263240.338743; ,; keydown
1774263240.396538; Key.space; keydown
1774263240.4061692; ,; keyup
1774263240.46037; Key.space; keyup
1774263241.3646595; c; keydown
1774263241.460593; c; keyup
