1774265187.168272; Key.shift_r; keydown
1774265187.3497117; W; keydown
1774265187.4912155; Key.shift_r; keyup
1774265187.513101; w; keyup
1774265187.9624243; Key.space; keydown
1774265188.0754886; Key.space; keyup
1774265188.249856; s; keydown
1774265188.468178; z; keydown
1774265188.543851; s; keyup
1774265188.6314762; z; keyup
1774265188.6581297; c; keydown
1774265188.825724; z; keydown
1774265188.8373876; c; keyup
1774265188.9878292; z; keyup
1774265189.2498326; e; keydown
1774265189.35379; e; keyup
1774265190.0602152; Key.backspace; keydown
1774265190.1538138; Key.backspace; keyup
1774265190.2797794; Key.backspace; keydown
1774265190.3577743; Key.backspace; keyup
1774265190.4958055; Key.backspace; keydown
1774265190.5637949; Key.backspace; keyup
1774265190.7001698; Key.backspace; keydown
1774265190.8237913; Key.backspace; keyup
1774265191.7821538; Key.backspace; keydown
1774265191.855863; Key.backspace; keyup
1774265193.1743531; Key.shift; keydown
1774265193.2663083; S; keydown
1774265193.3999887; Key.shift; keyup
1774265193.4218965; s; keyup
1774265193.706311; z; keydown
1774265193.841952; z; keyup
1774265193.9302387; c; keydown
1774265194.0559819; c; keyup
1774265194.2042434; z; keydown
1774265194.3478594; z; keyup
1774265194.4579723; e; keydown
1774265194.5758235; e; keyup
1774265194.8021991; b; keydown
1774265194.8996599; b; keyup
1774265194.9996886; r; keydown
1774265195.129827; z; keydown
1774265195.1496654; r; keyup
1774265195.231735; z; keyup
1774265195.3341851; e; keydown
1774265195.4119618; e; keyup
1774265195.4782205; s; keydown
1774265195.600155; z; keydown
1774265195.6716406; s; keyup
1774265195.763451; z; keyup
1774265195.778245; y; keydown
1774265195.8354847; y; keyup
1774265195.9862535; n; keydown
1774265196.0742285; i; keydown
1774265196.1678956; n; keyup
1774265196.1898904; i; keyup
1774265196.1914883; e; keydown
1774265196.309966; e; keyup
1774265196.3882325; Key.space; keydown
1774265196.4779701; Key.space; keyup
1774265196.834216; c; keydown
1774265196.9478793; c; keyup
1774265197.7622435; h; keydown
1774265197.8738961; h; keyup
1774265197.9463122; r; keydown
1774265198.0502577; z; keydown
1774265198.1360433; r; keyup
1774265198.1781158; z; keyup
1774265198.2783718; Key.alt_r; keydown
1774265198.3603845; a; keydown
1774265198.4381616; Key.alt_r; keyup
1774265198.4800518; a; keyup
1774265198.660359; s; keydown
1774265198.7886136; z; keydown
1774265198.8735108; s; keyup
1774265198.9400506; z; keyup
1774265199.0743566; c; keydown
1774265199.187706; z; keydown
1774265199.2142556; c; keyup
1774265199.3240333; z; keyup
1774265199.462459; Key.space; keydown
1774265199.5697453; Key.space; keyup
1774265199.6483543; b; keydown
1774265199.7739568; r; keydown
1774265199.8500664; b; keyup
1774265199.8978224; z; keydown
1774265199.9394393; r; keyup
1774265200.0403514; m; keydown
1774265200.0433023; z; keyup
1774265200.166356; i; keydown
1774265200.2275028; m; keyup
1774265200.256004; i; keyup
1774265200.3663487; Key.space; keydown
1774265200.4380178; Key.space; keyup
1774265200.4446042; w; keydown
1774265200.5803306; Key.space; keydown
1774265200.6178167; w; keyup
1774265200.6855078; Key.space; keyup
1774265200.7738626; t; keydown
1774265200.9003618; r; keydown
1774265200.9278147; t; keyup
1774265201.041822; z; keydown
1774265201.0758095; r; keyup
1774265201.170114; z; keyup
1774265201.2566009; c; keydown
1774265201.3479593; c; keyup
1774265201.3718774; i; keydown
1774265201.4540167; i; keyup
1774265201.5424664; n; keydown
1774265201.604348; i; keydown
1774265201.6675353; n; keyup
1774265201.6696973; e; keydown
1774265201.6935902; i; keyup
1774265201.7800307; e; keyup
1774265202.1678016; .; keydown
1774265202.2840273; .; keyup
1774265202.4118202; Key.enter; keydown
1774265202.4995072; Key.enter; keyup
1774265202.93837; Key.shift_r; keydown
1774265203.3117797; B; keydown
1774265203.397454; B; keyup
1774265203.4092593; Key.shift_r; keyup
1774265203.6663728; i; keydown
1774265203.7975059; i; keyup
1774265203.7995327; o; keydown
1774265203.8942468; o; keyup
1774265205.0061512; m; keydown
1774265205.1194737; m; keyup
1774265205.1556113; e; keydown
1774265205.2414005; e; keyup
1774265205.26162; t; keydown
1774265205.363703; r; keydown
1774265205.4596994; t; keyup
1774265205.4761076; r; keyup
1774265205.537958; i; keydown
1774265205.6419723; i; keyup
1774265205.6580076; a; keydown
1774265205.8080928; a; keyup
1774265205.8165832; Key.space; keydown
1774265205.9021735; Key.space; keyup
1774265206.0483675; b; keydown
1774265206.148084; b; keyup
1774265206.1624482; e; keydown
1774265206.2742302; e; keyup
1774265206.326409; h; keydown
1774265206.4661705; h; keyup
1774265206.7105203; a; keydown
1774265206.8781033; a; keyup
1774265206.9163907; w; keydown
1774265207.0702147; w; keyup
1774265207.1083574; i; keydown
1774265207.193872; o; keydown
1774265207.2358646; i; keyup
1774265207.3017251; o; keyup
1774265207.4522657; r; keydown
1774265207.5466297; a; keydown
1774265207.6061711; r; keyup
1774265207.6961668; a; keyup
1774265207.802554; l; keydown
1774265207.8942177; l; keyup
1774265207.9561167; n; keydown
1774265208.0636806; n; keyup
1774265208.1285222; a; keydown
1774265208.260227; a; keyup
1774265208.2705739; Key.space; keydown
1774265208.3821673; Key.space; keyup
1774265208.383606; j; keydown
1774265208.4742594; e; keydown
1774265208.479978; j; keyup
1774265208.5704205; s; keydown
1774265208.6604118; t; keydown
1774265208.6883564; e; keyup
1774265208.6892953; s; keyup
1774265208.7180521; Key.space; keydown
1774265208.780088; t; keyup
1774265208.8160727; Key.space; keyup
1774265208.9405053; b; keydown
1774265209.0404751; a; keydown
1774265209.0696187; b; keyup
1774265209.2025723; r; keydown
1774265209.2277713; a; keyup
1774265209.3141756; r; keyup
1774265209.4565022; d; keydown
1774265209.5624583; z; keydown
1774265209.6236484; d; keyup
1774265209.6984947; o; keydown
1774265209.703972; z; keyup
1774265209.8076131; o; keyup
1774265209.8401356; Key.space; keydown
1774265209.941607; Key.space; keyup
1774265209.983794; c; keydown
1774265210.0962555; c; keyup
1774265210.1140242; i; keydown
1774265210.2056282; i; keyup
1774265210.236609; e; keydown
1774265210.3401713; e; keyup
1774265210.408656; k; keydown
1774265210.4946072; a; keydown
1774265210.5014803; k; keyup
1774265210.5826058; w; keydown
1774265210.6059625; a; keyup
1774265210.7741578; w; keyup
1774265210.8166218; a; keydown
1774265210.9916182; a; keyup
1774265211.3584998; .; keydown
1774265211.4442117; .; keyup
1774265211.508049; Key.enter; keydown
1774265211.5981793; Key.enter; keyup
1774265212.1304111; Key.shift_r; keydown
1774265212.3363838; P; keydown
1774265212.4303086; Key.shift_r; keyup
1774265212.4677181; p; keyup
1774265212.576535; Key.alt_r; keydown
1774265212.622549; o; keydown
1774265212.7263305; Key.alt_r; keyup
1774265212.7383015; o; keyup
1774265212.8509345; Key.alt_r; keydown
1774265212.9445152; x; keydown
1774265212.9920845; Key.alt_r; keyup
1774265213.076331; x; keyup
1774265213.1866584; n; keydown
1774265213.2343142; i; keydown
1774265213.2940571; n; keyup
1774265213.328056; i; keyup
1774265213.3586297; e; keydown
1774265213.4186633; j; keydown
1774265213.4479635; e; keyup
1774265213.518266; j; keyup
1774265213.5764892; Key.space; keydown
1774265213.6727; w; keydown
1774265213.6937768; Key.space; keyup
1774265213.7906432; Key.alt_r; keydown
1774265213.8082488; w; keyup
1774265213.8425932; l; keydown
1774265213.916247; Key.alt_r; keyup
1774265213.9257452; l; keyup
1774265214.0422971; Key.alt_r; keydown
1774265214.0965776; a; keydown
1774265214.1682665; Key.alt_r; keyup
1774265214.2082486; a; keyup
1774265214.3246815; c; keydown
1774265214.4185581; z; keydown
1774265214.4700706; c; keyup
1774265214.5722697; z; keyup
1774265215.4986856; Key.space; keydown
1774265215.6022592; Key.space; keyup
1774265215.666674; t; keydown
1774265215.7897708; t; keyup
1774265215.8626497; Key.alt_r; keydown
