1774729254.2974226; Key.shift; keydown
1774729254.5345802; W; keydown
1774729254.59424; W; keyup
1774729254.6104276; Key.shift; keyup
1774729254.7738874; Key.space; keydown
1774729254.8816118; Key.space; keyup
1774729254.9658475; Key.shift; keydown
1774729255.0939326; S; keydown
1774729255.183757; Key.shift; keyup
1774729255.226371; s; keyup
1774729255.3493316; z; keydown
1774729255.484762; z; keyup
1774729255.615447; c; keydown
1774729255.75482; z; keydown
1774729255.7927403; c; keyup
1774729255.898686; z; keyup
1774729256.39244; e; keydown
1774729256.489922; e; keyup
1774729256.7910926; b; keydown
1774729256.8913193; b; keyup
1774729256.9645212; r; keydown
1774729257.035617; r; keyup
1774729257.2517993; z; keydown
1774729257.3555439; z; keyup
1774729258.2015948; e; keydown
1774729258.313717; e; keyup
1774729258.8115695; s; keydown
1774729258.9092383; z; keydown
1774729258.952574; s; keyup
1774729259.0433607; z; keyup
1774729259.1344464; y; keydown
1774729259.2130876; y; keyup
1774729259.3802516; n; keydown
1774729259.4632313; i; keydown
1774729259.4856853; n; keyup
1774729259.5390334; i; keyup
1774729259.6274874; e; keydown
1774729259.7203865; e; keyup
1774729259.7638016; Key.space; keydown
1774729259.8570123; Key.space; keyup
1774729260.163038; c; keydown
1774729260.2613652; c; keyup
1774729260.2691605; h; keydown
1774729260.3536658; h; keyup
1774729260.6540756; r; keydown
1774729260.7247484; r; keyup
1774729260.933983; z; keydown
1774729261.0509236; z; keyup
1774729261.1263294; Key.ctrl_l; keydown
1774729261.1272087; Key.alt_gr; keydown
1774729261.3848882; ą; keydown
1774729261.48954; ą; keyup
1774729261.7959173; Key.ctrl_l; keyup
1774729261.7969847; Key.alt_gr; keyup
1774729262.0044827; s; keydown
1774729262.1073005; z; keydown
1774729262.1611793; s; keyup
1774729262.2160757; z; keyup
1774729262.4456453; c; keydown
1774729262.5119073; z; keydown
1774729262.5330207; c; keyup
1774729262.6386654; z; keyup
1774729262.930129; Key.space; keydown
1774729263.024431; Key.space; keyup
1774729263.3988237; b; keydown
1774729263.4674833; b; keyup
1774729263.930118; r; keydown
1774729263.990107; r; keyup
1774729264.1725879; z; keydown
1774729264.3065596; z; keyup
1774729264.3647084; m; keydown
1774729264.4738188; i; keydown
1774729264.5054705; m; keyup
1774729264.591402; i; keyup
1774729264.6957996; Key.space; keydown
1774729264.8136446; Key.space; keyup
1774729264.9113362; w; keydown
1774729265.0139127; w; keyup
1774729265.067222; Key.space; keydown
1774729265.1649115; Key.space; keyup
1774729265.470996; t; keydown
1774729265.544257; t; keyup
1774729265.6680372; r; keydown
1774729265.7445874; r; keyup
1774729265.9072046; z; keydown
1774729266.0095606; z; keyup
1774729266.3512256; c; keydown
1774729266.4743927; c; keyup
1774729266.4853423; i; keydown
1774729266.5627098; i; keyup
1774729266.6574385; n; keydown
1774729266.7407575; i; keydown
1774729266.781431; n; keyup
1774729266.8491154; i; keyup
1774729266.8626606; e; keydown
1774729266.9448586; e; keyup
1774729267.1360304; .; keydown
1774729267.2541363; .; keyup
1774729267.60408; Key.enter; keydown
1774729267.7707732; Key.enter; keyup
1774729268.8829834; Key.shift; keydown
1774729269.0180485; B; keydown
1774729269.089576; B; keyup
1774729269.122506; Key.shift; keyup
1774729269.281544; i; keydown
1774729269.3535836; i; keyup
1774729269.452999; o; keydown
1774729269.5353675; o; keyup
1774729269.8043673; m; keydown
1774729269.881632; m; keyup
1774729269.9432375; e; keydown
1774729270.0324461; e; keyup
1774729270.1857758; t; keydown
1774729270.2516427; t; keyup
1774729270.3780243; r; keydown
1774729270.4446716; r; keyup
1774729270.4740882; i; keydown
1774729270.5490303; i; keyup
1774729270.6484034; a; keydown
1774729270.7443402; a; keyup
1774729270.8386688; Key.space; keydown
1774729270.943278; Key.space; keyup
1774729271.379221; b; keydown
1774729271.4873345; b; keyup
1774729271.6787288; e; keydown
1774729271.7696884; e; keyup
1774729271.8955636; h; keydown
1774729271.9483247; h; keyup
1774729272.0843127; a; keydown
1774729272.1557791; a; keyup
1774729272.3423696; w; keydown
1774729272.4287083; w; keyup
1774729272.5190375; i; keydown
1774729272.589841; i; keyup
1774729272.684637; o; keydown
1774729272.7657719; o; keyup
1774729272.832789; r; keydown
1774729272.8986099; r; keyup
1774729273.0293674; a; keydown
1774729273.135798; a; keyup
1774729273.1409707; l; keydown
1774729273.2086587; l; keyup
1774729273.3387222; n; keydown
1774729273.4430559; n; keyup
1774729273.666439; Key.space; keydown
1774729273.7604914; Key.space; keyup
1774729274.0403087; Key.backspace; keydown
1774729274.1284075; Key.backspace; keyup
1774729274.1820965; a; keydown
1774729274.2687354; a; keyup
1774729274.3589902; Key.space; keydown
1774729274.4656925; Key.space; keyup
1774729274.7429347; j; keydown
1774729274.8266363; j; keyup
1774729274.8490736; e; keydown
1774729274.9121027; e; keyup
1774729275.0466971; s; keydown
1774729275.1320798; s; keyup
1774729275.2992446; t; keydown
1774729275.374364; t; keyup
1774729275.5720012; Key.space; keydown
1774729275.6516452; Key.space; keyup
1774729276.0871217; b; keydown
1774729276.1577451; b; keyup
1774729276.1886268; a; keydown
1774729276.2807465; a; keyup
1774729276.4210625; r; keydown
1774729276.5012853; r; keyup
1774729276.7090917; d; keydown
1774729276.8387623; d; keyup
1774729276.858115; z; keydown
1774729276.946025; z; keyup
1774729277.667023; o; keydown
