1774729320.9585721; Key.shift; keydown
1774729321.204377; W; keydown
1774729321.2949157; Key.shift; keyup
1774729321.3249009; w; keyup
1774729321.4030368; Key.space; keydown
1774729321.4642067; Key.space; keyup
1774729321.5296166; Key.shift; keydown
1774729321.6832726; S; keydown
1774729321.7595556; Key.shift; keyup
1774729321.7997036; s; keyup
1774729321.8960614; z; keydown
1774729322.0171413; z; keyup
1774729322.0709581; c; keydown
1774729322.2248926; z; keydown
1774729322.249469; c; keyup
1774729322.3560867; z; keyup
1774729322.4947672; e; keydown
1774729322.6027143; e; keyup
1774729323.0537162; b; keydown
1774729323.14933; b; keyup
1774729323.221053; r; keydown
1774729323.2927608; r; keyup
1774729323.4587772; z; keydown
1774729323.5884385; z; keyup
1774729323.624955; e; keydown
1774729323.7034292; e; keyup
1774729323.9231102; s; keydown
1774729324.053696; s; keyup
1774729324.0747514; z; keydown
1774729324.1785114; z; keyup
1774729324.9265578; y; keydown
1774729325.0024273; y; keyup
1774729325.4255314; n; keydown
1774729325.5156755; i; keydown
1774729325.5395963; n; keyup
1774729325.5833964; i; keyup
1774729325.6417124; e; keydown
1774729325.7173743; e; keyup
1774729325.7692432; Key.space; keydown
1774729325.8569498; Key.space; keyup
1774729325.9608257; c; keydown
1774729326.0710602; c; keyup
1774729326.1094804; h; keydown
1774729326.2020252; h; keyup
1774729326.3981605; r; keydown
1774729326.4674044; r; keyup
1774729326.651524; z; keydown
1774729326.7634878; z; keyup
1774729326.9008236; Key.ctrl_l; keydown
1774729326.9020057; Key.alt_gr; keydown
1774729327.0344577; ą; keydown
1774729327.1155643; ą; keyup
1774729327.1918635; Key.ctrl_l; keyup
1774729327.1928601; Key.alt_gr; keyup
1774729327.314805; s; keydown
1774729327.4080288; z; keydown
1774729327.4387553; s; keyup
1774729327.5224888; z; keyup
1774729327.6585305; c; keydown
1774729327.68987; z; keydown
1774729327.7246552; c; keyup
1774729327.840961; z; keyup
1774729327.9771957; Key.space; keydown
1774729328.062101; Key.space; keyup
1774729328.2470832; b; keydown
1774729328.3294263; b; keyup
1774729328.488494; r; keydown
1774729328.5475707; r; keyup
1774729328.6893806; z; keydown
1774729328.8255863; z; keyup
1774729328.8382552; m; keydown
1774729328.9166431; i; keydown
1774729328.922559; m; keyup
1774729329.0104797; i; keyup
1774729329.0857534; Key.space; keydown
1774729329.1798964; Key.space; keyup
1774729329.4918969; w; keydown
1774729329.575839; w; keyup
1774729329.6139429; Key.space; keydown
1774729329.7090888; Key.space; keyup
1774729330.1104593; t; keydown
1774729330.1982298; t; keyup
1774729330.3195572; r; keydown
1774729330.391789; r; keyup
1774729330.6736193; z; keydown
1774729330.8089137; z; keyup
1774729331.7410216; c; keydown
1774729331.8488617; c; keyup
1774729331.8715231; i; keydown
1774729331.9242718; i; keyup
1774729332.0053537; n; keydown
1774729332.0685468; i; keydown
1774729332.1067407; n; keyup
1774729332.1747031; i; keyup
1774729332.1974838; e; keydown
1774729332.2558744; e; keyup
1774729332.558189; .; keydown
1774729332.6711233; .; keyup
1774729332.9733517; Key.enter; keydown
1774729333.135137; Key.enter; keyup
1774729333.9996939; Key.shift; keydown
1774729334.3163607; B; keydown
1774729334.3684618; Key.shift; keyup
1774729334.3863475; b; keyup
1774729334.561213; i; keydown
1774729334.6300428; i; keyup
1774729334.728443; o; keydown
1774729334.807719; o; keyup
1774729334.88746; m; keydown
1774729334.9688714; m; keyup
1774729336.1378415; e; keydown
1774729336.2542138; e; keyup
1774729336.729994; t; keydown
1774729336.8039975; t; keyup
1774729336.9120486; r; keydown
1774729336.9713018; r; keyup
1774729337.0043762; i; keydown
1774729337.0800955; i; keyup
1774729337.135815; a; keydown
1774729337.2614667; a; keyup
1774729337.3387926; Key.space; keydown
1774729337.3985407; Key.space; keyup
1774729337.7460065; b; keydown
1774729337.8310976; b; keyup
1774729338.0261579; e; keydown
1774729338.1160917; e; keyup
1774729338.3141422; h; keydown
1774729338.4120948; h; keyup
1774729338.474745; a; keydown
1774729338.5876718; a; keyup
1774729340.2855933; w; keydown
1774729340.3769166; w; keyup
1774729340.4656856; i; keydown
1774729340.542817; i; keyup
1774729340.8793347; o; keydown
1774729340.964205; o; keyup
1774729341.53454; e; keydown
1774729341.5877812; e; keyup
1774729341.8499403; Key.backspace; keydown
1774729341.9547555; Key.backspace; keyup
1774729342.0289662; r; keydown
