1774645212.1775641; Key.shift_r; keydown
1774645212.3188875; W; keydown
1774645212.4086676; W; keyup
1774645212.410517; Key.shift_r; keyup
1774645212.6188896; Key.space; keydown
1774645212.7267165; Key.space; keyup
1774645213.0329528; Key.shift_r; keydown
1774645213.064582; Key.shift_r; keyup
1774645213.29492; s; keydown
1774645213.3889222; Key.shift_r; keydown
1774645213.4426785; S; keyup
1774645213.5266683; Key.shift_r; keyup
1774645213.666896; Key.backspace; keydown
1774645213.746667; Key.backspace; keyup
1774645213.9010777; Key.shift_r; keydown
1774645214.0308576; S; keydown
1774645214.1307235; Key.shift_r; keyup
1774645214.1766558; s; keyup
1774645214.4909222; z; keydown
1774645214.5667093; z; keyup
1774645214.8149483; c; keydown
1774645214.904911; z; keydown
1774645215.0267477; z; keyup
1774645215.0286558; c; keyup
1774645215.1429052; e; keydown
1774645215.264852; e; keyup
1774645215.3650239; b; keydown
1774645215.4848886; b; keyup
1774645215.6088405; r; keydown
1774645215.7270677; z; keydown
1774645215.8188064; r; keyup
1774645215.8208537; e; keydown
1774645215.8647575; z; keyup
1774645215.9408624; e; keyup
1774645216.0449595; s; keydown
1774645216.1169248; z; keydown
1774645216.202772; s; keyup
1774645216.2587154; z; keyup
1774645216.3710175; c; keydown
1774645216.4267201; c; keyup
1774645216.432838; z; keydown
1774645216.4908447; z; keyup
1774645216.6488602; Key.backspace; keydown
1774645216.764789; Key.backspace; keyup
1774645216.8628829; Key.backspace; keydown
1774645216.9087462; Key.backspace; keyup
1774645216.9168658; y; keydown
1774645217.0528595; y; keyup
1774645217.325023; n; keydown
1774645217.4428484; n; keyup
1774645217.527079; o; keydown
1774645217.5927699; o; keyup
1774645217.7749841; Key.backspace; keydown
1774645217.8668811; i; keydown
1774645217.918759; Key.backspace; keyup
1774645217.9629369; e; keydown
1774645217.968747; i; keyup
1774645218.0928972; e; keyup
1774645218.177052; Key.space; keydown
1774645218.276746; Key.space; keyup
1774645218.6609359; c; keydown
1774645218.7708669; c; keyup
1774645218.8109772; h; keydown
1774645218.9126954; h; keyup
1774645219.236962; Key.alt_r; keydown
1774645219.358796; Key.alt_r; keyup
1774645219.4910705; r; keydown
1774645219.5750012; z; keydown
1774645219.6628647; r; keyup
1774645219.7107022; z; keyup
1774645219.8048596; Key.alt_r; keydown
1774645219.957092; a; keydown
1774645220.0667593; a; keyup
1774645220.1108894; Key.alt_r; keyup
1774645220.308824; s; keydown
1774645220.4369426; z; keydown
1774645220.5468364; s; keyup
1774645220.5767794; z; keyup
1774645220.8810203; c; keydown
1774645220.9529393; z; keydown
1774645221.0168827; c; keyup
1774645221.038754; z; keyup
1774645221.2188022; Key.space; keydown
1774645221.3068888; Key.space; keyup
1774645221.4491081; b; keydown
1774645221.5727532; b; keyup
1774645221.7391984; r; keydown
1774645221.8589318; z; keydown
1774645221.9170759; r; keyup
1774645221.968721; z; keyup
1774645222.1849198; m; keydown
1774645222.2866595; m; keyup
1774645222.3950198; i; keydown
1774645222.5270164; Key.space; keydown
1774645222.5468206; i; keyup
1774645222.6227663; Key.space; keyup
1774645222.632896; w; keydown
1774645222.726795; w; keyup
1774645222.7790046; Key.space; keydown
1774645222.856867; Key.space; keyup
1774645223.0670016; t; keydown
1774645223.1567826; t; keyup
1774645223.2732003; r; keydown
1774645223.3551269; z; keydown
1774645223.4506502; r; keyup
1774645223.4848497; z; keyup
1774645224.0291243; c; keydown
1774645224.1547866; c; keyup
1774645224.1709301; i; keydown
1774645224.2868462; i; keyup
1774645224.4849684; n; keydown
1774645224.6371014; i; keydown
1774645224.641303; n; keyup
1774645224.7548625; e; keydown
1774645224.7687972; i; keyup
1774645224.8266127; e; keyup
1774645224.9888256; .; keydown
1774645225.1388812; .; keyup
1774645225.2108903; Key.enter; keydown
1774645225.3066258; Key.enter; keyup
1774645225.781016; Key.shift_r; keydown
1774645225.9490206; B; keydown
1774645226.0349565; Key.shift_r; keyup
1774645226.0847435; b; keyup
1774645226.1990254; i; keydown
1774645226.2969742; o; keydown
1774645226.3708186; i; keyup
1774645226.416722; o; keyup
1774645226.5147138; m; keydown
1774645226.5889745; e; keydown
1774645226.6208305; m; keyup
1774645226.7407744; e; keyup
1774645226.8370142; r; keydown
1774645226.9928184; r; keyup
1774645227.0490072; Key.backspace; keydown
1774645227.142877; t; keydown
1774645227.1967328; Key.backspace; keyup
1774645227.2327924; t; keyup
1774645227.3309355; r; keydown
1774645227.4649105; r; keyup
1774645227.6029887; i; keydown
1774645227.698742; a; keydown
1774645227.756909; i; keyup
1774645227.8027036; a; keyup
1774645227.8929482; Key.space; keydown
1774645228.0188935; Key.space; keyup
1774645228.1230001; b; keydown
1774645228.2447832; b; keyup
1774645228.2910008; e; keydown
1774645228.4548595; e; keyup
1774645228.5608332; h; keydown
1774645228.6730738; a; keydown
1774645228.700984; h; keyup
1774645228.7608223; a; keyup
1774645228.929059; w; keydown
1774645229.0129082; w; keyup
1774645229.0670166; i; keydown
1774645229.220824; i; keyup
1774645229.2309208; a; keydown
1774645229.3027947; a; keyup
1774645229.537057; Key.backspace; keydown
1774645229.598889; o; keydown
1774645229.6847765; Key.backspace; keyup
1774645229.7269447; r; keydown
1774645229.7647045; o; keyup
1774645229.8209598; a; keydown
1774645229.8347113; r; keyup
1774645229.9346852; a; keyup
1774645230.0309143; l; keydown
1774645230.1488225; l; keyup
1774645230.335134; n; keydown
1774645230.4209898; a; keydown
1774645230.514894; n; keyup
1774645230.5506527; a; keyup
1774645230.6331027; Key.space; keydown
1774645230.7308326; Key.space; keyup
1774645230.7328546; j; keydown
1774645230.8390071; e; keydown
1774645230.8848512; j; keyup
1774645230.8987663; s; keydown
