1774645440.8481367; Key.shift_r; keydown
1774645441.4031978; Key.shift_r; keyup
1774645446.77366; Key.shift_r; keydown
1774645446.9375305; W; keydown
1774645447.0314121; Key.shift_r; keyup
1774645447.0433211; w; keyup
1774645447.1235147; Key.space; keydown
1774645447.2392957; Key.space; keyup
1774645447.3774707; s; keydown
1774645447.4812543; s; keyup
1774645447.6575336; Key.backspace; keydown
1774645447.7613192; Key.backspace; keyup
1774645447.9055936; Key.shift_r; keydown
1774645448.0136268; S; keydown
1774645448.1031716; Key.shift_r; keyup
1774645448.1513638; s; keyup
1774645448.277501; z; keydown
1774645448.4212723; z; keyup
1774645448.422798; c; keydown
1774645448.5117433; z; keydown
1774645448.5672224; c; keyup
1774645448.6133711; z; keyup
1774645448.807707; e; keydown
1774645448.9333143; e; keyup
1774645449.2510712; b; keydown
1774645449.389391; b; keyup
1774645449.5191355; r; keydown
1774645449.7096624; z; keydown
1774645449.7354193; r; keyup
1774645449.8097005; e; keydown
1774645449.838844; z; keyup
1774645449.9669096; e; keyup
1774645450.2493691; s; keydown
1774645450.3417368; z; keydown
1774645450.4453928; s; keyup
1774645450.5053902; z; keyup
1774645450.5836997; y; keydown
1774645450.725353; y; keyup
1774645450.8695698; n; keydown
1774645450.9553614; n; keyup
1774645451.1337206; i; keydown
1774645451.2648926; i; keyup
1774645451.2736485; e; keydown
1774645451.389389; e; keyup
1774645451.5895715; Key.space; keydown
1774645451.7149422; Key.space; keyup
1774645451.9556434; c; keydown
1774645452.0834205; c; keyup
1774645452.1457305; h; keydown
1774645452.2373958; h; keyup
1774645452.6211927; r; keydown
1774645452.749195; r; keyup
1774645452.799712; z; keydown
1774645452.9033937; z; keyup
1774645453.0351377; Key.alt_r; keydown
1774645453.2015846; a; keydown
1774645453.303385; a; keyup
1774645453.3374023; Key.alt_r; keyup
1774645453.5916007; s; keydown
1774645453.6796103; z; keydown
1774645453.8015156; s; keyup
1774645453.8193827; z; keyup
1774645453.9474483; c; keydown
1774645453.9974058; z; keydown
1774645454.0874085; c; keyup
1774645454.1268857; z; keyup
1774645454.3697631; Key.space; keydown
1774645454.4773629; Key.space; keyup
1774645454.529369; b; keydown
1774645454.669403; b; keyup
1774645454.8137226; r; keydown
1774645454.9216447; z; keydown
1774645454.9814146; r; keyup
1774645455.0473866; z; keyup
1774645455.3096588; m; keydown
1774645455.4235673; m; keyup
1774645455.55159; i; keydown
1774645455.6675317; i; keyup
1774645455.7376416; Key.space; keydown
1774645455.8314023; Key.space; keyup
1774645455.8477042; w; keydown
1774645455.9494164; w; keyup
1774645455.9856308; Key.space; keydown
1774645456.091329; Key.space; keyup
1774645456.5778813; t; keydown
1774645456.701552; t; keyup
1774645456.8117557; r; keydown
1774645456.8996646; z; keydown
1774645456.9756987; r; keyup
1774645457.035477; z; keyup
1774645457.4736757; c; keydown
1774645457.6016052; c; keyup
1774645457.7057073; i; keydown
1774645457.833555; i; keyup
1774645457.8517063; e; keydown
1774645457.9213781; e; keyup
1774645458.2293568; Key.backspace; keydown
1774645458.367669; Key.backspace; keyup
1774645458.389836; n; keydown
1774645458.5016453; n; keyup
1774645458.5813801; i; keydown
1774645458.6538832; e; keydown
1774645458.7052927; i; keyup
1774645458.7816732; e; keyup
1774645459.0238864; .; keydown
1774645459.1715195; .; keyup
1774645459.363747; Key.enter; keydown
1774645459.4495041; Key.enter; keyup
1774645460.085922; Key.shift_r; keydown
1774645460.2258148; B; keydown
1774645460.3355756; Key.shift_r; keyup
1774645460.3415148; b; keyup
1774645460.803506; i; keydown
1774645460.9857912; o; keydown
1774645461.0234108; i; keyup
1774645461.1335056; o; keyup
1774645461.231438; m; keydown
1774645461.3777766; e; keydown
1774645461.3833888; m; keyup
1774645461.501587; e; keyup
1774645461.7337873; t; keydown
1774645461.8355932; t; keyup
1774645461.9577763; r; keydown
1774645462.0755632; r; keyup
1774645462.1898334; i; keydown
1774645462.337811; a; keydown
1774645462.343504; i; keyup
1774645462.4675853; a; keyup
1774645462.9175496; Key.space; keydown
1774645463.051658; Key.space; keyup
1774645463.1158652; b; keydown
1774645463.2375755; b; keyup
1774645463.367325; e; keydown
1774645463.485665; e; keyup
1774645463.5618975; h; keydown
1774645463.711374; a; keydown
1774645463.729245; h; keyup
1774645463.82734; a; keyup
1774645463.93147; w; keydown
1774645464.0354347; w; keyup
1774645464.1895394; i; keydown
1774645464.2834396; o; keydown
1774645464.3636386; i; keyup
1774645464.433325; o; keyup
1774645464.475859; r; keydown
1774645464.6138597; a; keydown
1774645464.6535847; r; keyup
1774645464.7616525; a; keyup
1774645464.8078551; l; keydown
1774645464.9616566; l; keyup
1774645465.0398896; n; keydown
1774645465.117892; a; keydown
1774645465.2097096; n; keyup
1774645465.2737782; a; keyup
1774645465.3098917; Key.space; keydown
1774645465.4096344; Key.space; keyup
1774645465.467847; j; keydown
1774645465.5518534; e; keydown
1774645465.5994666; j; keyup
1774645465.6558466; s; keydown
1774645465.731972; t; keydown
1774645465.7533388; e; keyup
1774645465.7593844; s; keyup
1774645465.8598487; Key.space; keydown
1774645465.8668697; t; keyup
1774645465.975368; Key.space; keyup
1774645466.0359004; b; keydown
1774645466.1176615; a; keydown
1774645466.1594498; b; keyup
1774645466.2716563; a; keyup
1774645466.387876; r; keydown
1774645466.5233233; r; keyup
1774645466.6798553; d; keydown
1774645466.789845; z; keydown
1774645466.8456497; d; keyup
1774645466.9153414; z; keyup
1774645467.0358338; o; keydown
1774645467.179615; o; keyup
1774645467.267699; Key.space; keydown
1774645467.405611; Key.space; keyup
1774645467.439849; c; keydown
1774645467.561622; c; keyup
1774645467.74185; i; keydown
1774645467.8636155; i; keyup
1774645467.8734593; e; keydown
1774645467.961639; e; keyup
1774645468.0418427; k; keydown
1774645468.1480014; a; keydown
1774645468.177316; k; keyup
1774645468.267385; a; keyup
1774645468.3879392; w; keydown
1774645468.4319448; a; keydown
1774645468.523635; w; keyup
1774645468.5676625; a; keyup
1774645468.8178697; .; keydown
1774645468.9316556; .; keyup
1774645469.1378603; Key.enter; keydown
1774645469.2571988; Key.enter; keyup
1774645469.870008; Key.shift_r; keydown
