1774645369.9411995; Key.shift_r; keydown
1774645370.1706493; W; keydown
1774645370.2903714; W; keyup
1774645370.3144848; Key.shift_r; keyup
1774645370.6018977; Key.space; keydown
1774645370.7298496; Key.space; keyup
1774645370.8507318; Key.shift_r; keydown
1774645370.960779; S; keydown
1774645371.0823739; Key.shift_r; keyup
1774645371.1083615; s; keyup
1774645371.3067105; z; keydown
1774645371.4643798; z; keyup
1774645371.4946349; c; keydown
1774645371.5767288; z; keydown
1774645371.6683931; c; keyup
1774645371.7163944; z; keyup
1774645371.8406298; e; keydown
1774645371.9743724; e; keyup
1774645372.1125948; b; keydown
1774645372.2323318; b; keyup
1774645372.4326103; r; keydown
1774645372.4623132; z; keydown
1774645372.546413; r; keyup
1774645372.591798; z; keyup
1774645372.8745897; e; keydown
1774645373.0163724; e; keyup
1774645373.2946355; Key.alt_r; keydown
1774645373.4484708; Key.alt_r; keyup
1774645373.5780952; s; keydown
1774645373.6565301; z; keydown
1774645373.7983787; s; keyup
1774645373.8423784; z; keyup
1774645374.232577; t; keydown
1774645374.3763554; t; keyup
1774645374.5766423; Key.backspace; keydown
1774645374.634364; y; keydown
1774645374.6880543; Key.backspace; keyup
1774645374.7678027; y; keyup
1774645374.9164925; n; keydown
1774645375.0422885; n; keyup
1774645375.1345122; i; keydown
1774645375.2126548; e; keydown
1774645375.2323484; i; keyup
1774645375.3718004; e; keyup
1774645375.4346235; Key.space; keydown
1774645375.5599425; Key.space; keyup
1774645375.7505686; c; keydown
1774645375.8723953; c; keyup
1774645376.024671; h; keydown
1774645376.1663256; h; keyup
1774645377.0625312; r; keydown
1774645377.2765656; z; keydown
1774645377.310109; r; keyup
1774645377.3883133; z; keyup
1774645377.566633; e; keydown
1774645377.6543052; e; keyup
1774645377.8079488; Key.backspace; keydown
1774645377.9464495; Key.backspace; keyup
1774645378.4006183; Key.alt_r; keydown
1774645378.5101073; a; keydown
1774645378.626403; a; keyup
1774645378.6741436; Key.alt_r; keyup
1774645379.3504736; Key.space; keydown
1774645379.5023375; Key.space; keyup
1774645379.8504703; Key.backspace; keydown
1774645379.9642954; Key.backspace; keyup
1774645380.554592; s; keydown
1774645380.624571; z; keydown
1774645380.732275; s; keyup
1774645380.8285673; z; keyup
1774645381.3366723; n; keydown
1774645381.4102197; n; keyup
1774645381.5783687; Key.backspace; keydown
1774645381.6800244; c; keydown
1774645381.7058036; Key.backspace; keyup
1774645381.778411; z; keydown
1774645381.8822834; c; keyup
1774645381.922354; z; keyup
1774645382.324377; Key.space; keydown
1774645382.4601796; Key.space; keyup
1774645382.539948; b; keydown
1774645382.6662424; b; keyup
1774645382.8126915; r; keydown
1774645382.943934; z; keydown
1774645383.0222607; r; keyup
1774645383.068347; z; keyup
1774645383.2083924; m; keydown
1774645383.3182087; m; keyup
1774645383.4284627; i; keydown
1774645383.5823588; Key.space; keydown
1774645383.588214; i; keyup
1774645383.7103968; w; keydown
1774645383.7302396; Key.space; keyup
1774645383.854237; w; keyup
1774645383.855666; Key.space; keydown
1774645383.9419703; Key.space; keyup
1774645384.1405082; t; keydown
1774645384.222177; t; keyup
1774645384.6224315; r; keydown
1774645384.7163863; z; keydown
1774645384.7782981; r; keyup
1774645384.8301022; z; keyup
1774645385.0503864; c; keydown
1774645385.1841283; c; keyup
1774645385.222344; i; keydown
1774645385.3263686; e; keydown
1774645385.3578696; i; keyup
1774645385.4321766; e; keyup
1774645385.8063607; n; keydown
1774645385.892216; n; keyup
1774645386.0064294; Key.backspace; keydown
1774645386.1001987; Key.backspace; keyup
1774645386.1963725; Key.backspace; keydown
1774645386.2764294; n; keydown
1774645386.3298898; Key.backspace; keyup
1774645386.3761785; n; keyup
1774645386.4803543; i; keydown
1774645386.6421669; i; keyup
1774645386.6703925; e; keydown
1774645386.7722409; e; keyup
1774645386.9726367; .; keydown
1774645387.1201897; .; keyup
1774645387.2863817; Key.enter; keydown
