1774645285.0615344; Key.shift_r; keydown
1774645285.1686814; W; keydown
1774645285.2986245; W; keyup
1774645285.3045485; Key.shift_r; keyup
1774645285.5448945; Key.space; keydown
1774645285.6525664; Key.space; keyup
1774645285.9947846; Key.shift_r; keydown
1774645286.036557; S; keydown
1774645286.1465352; S; keyup
1774645286.2665331; Key.shift_r; keyup
1774645286.5708277; z; keydown
1774645286.7306354; z; keyup
1774645286.82893; c; keydown
1774645286.8948903; z; keydown
1774645286.9786475; c; keyup
1774645287.0224843; z; keyup
1774645287.1326966; e; keydown
1774645287.256625; e; keyup
1774645287.4907627; n; keydown
1774645287.5685706; n; keyup
1774645287.7507784; Key.backspace; keydown
1774645287.8146918; b; keydown
1774645287.892566; Key.backspace; keyup
1774645287.9304893; b; keyup
1774645288.1467292; z; keydown
1774645288.3006034; z; keyup
1774645288.4607775; Key.backspace; keydown
1774645288.520687; r; keydown
1774645288.5665433; Key.backspace; keyup
1774645288.6026704; z; keydown
1774645288.672645; e; keydown
1774645288.6864958; r; keyup
1774645288.7585416; z; keyup
1774645288.8084877; e; keyup
1774645289.1647737; s; keydown
1774645289.3126497; z; keydown
1774645289.4204886; s; keyup
1774645289.446464; z; keyup
1774645289.5687356; y; keydown
1774645289.7365878; y; keyup
1774645289.8547294; n; keydown
1774645289.9366162; n; keyup
1774645289.9987051; i; keydown
1774645290.092696; e; keydown
1774645290.146544; i; keyup
1774645290.2546012; e; keyup
1774645290.3986707; Key.space; keydown
1774645290.5085747; Key.space; keyup
1774645290.5766459; c; keydown
1774645290.7185733; c; keyup
1774645290.7466195; h; keydown
1774645290.8905756; h; keyup
1774645291.1947584; r; keydown
1774645291.3347385; z; keydown
1774645291.3765185; r; keyup
1774645291.4405167; z; keyup
1774645291.5667603; Key.alt_r; keydown
1774645291.7307312; a; keydown
1774645291.8487105; a; keyup
1774645291.870498; Key.alt_r; keyup
1774645292.2747998; s; keydown
1774645292.3506145; z; keydown
1774645292.442565; s; keyup
1774645292.4925382; z; keyup
1774645292.5427668; c; keydown
1774645292.6286418; z; keydown
1774645292.7265663; c; keyup
1774645292.7404382; z; keyup
1774645292.8867366; Key.space; keydown
1774645292.9825284; Key.space; keyup
1774645293.0626488; b; keydown
1774645293.192552; b; keyup
1774645293.3326848; r; keydown
1774645293.4466994; z; keydown
1774645293.5265913; z; keyup
1774645293.5324955; r; keyup
1774645293.6686063; m; keydown
1774645293.7765622; m; keyup
1774645293.8886766; i; keydown
1774645294.030516; i; keyup
1774645294.0706527; Key.space; keydown
1774645294.1786413; w; keydown
1774645294.2205195; Key.space; keyup
1774645294.2945; w; keyup
1774645294.346635; Key.space; keydown
1774645294.4705086; Key.space; keyup
1774645294.5846748; t; keydown
1774645294.700581; t; keyup
1774645294.82674; r; keydown
1774645294.940701; z; keydown
1774645295.0085235; r; keyup
1774645295.0764842; z; keyup
1774645295.606693; c; keydown
1774645295.7326398; c; keyup
1774645295.782613; i; keydown
1774645295.9165108; i; keyup
1774645295.9186513; e; keydown
1774645296.0184937; e; keyup
1774645296.2327135; Key.backspace; keydown
1774645296.3066468; n; keydown
1774645296.3443794; Key.backspace; keyup
1774645296.42056; n; keyup
1774645296.4466047; i; keydown
1774645296.5607073; e; keydown
1774645296.5866501; i; keyup
1774645296.6985445; e; keyup
1774645297.136782; .; keydown
1774645297.2685516; .; keyup
1774645297.4567137; Key.enter; keydown
1774645297.5785294; Key.enter; keyup
1774645298.1366363; Key.shift_r; keydown
1774645298.2927158; B; keydown
1774645298.390528; Key.shift_r; keyup
1774645298.4104476; b; keyup
1774645298.5266187; i; keydown
1774645298.622665; o; keydown
1774645298.7085204; i; keyup
1774645298.746435; o; keyup
1774645298.8426342; m; keydown
1774645298.9626737; e; keydown
1774645298.9704545; m; keyup
1774645299.0784678; e; keyup
1774645299.416627; t; keydown
1774645299.5105488; t; keyup
1774645299.6287093; r; keydown
1774645299.7545447; r; keyup
1774645299.802737; i; keydown
1774645299.898584; a; keydown
1774645299.96451; i; keyup
1774645300.052564; a; keyup
1774645300.1186562; Key.space; keydown
1774645300.288461; Key.space; keyup
1774645300.3765929; b; keydown
1774645300.5205197; b; keyup
1774645300.8705914; e; keydown
1774645301.034479; e; keyup
1774645301.1966555; h; keydown
1774645301.3266199; a; keydown
1774645301.380371; h; keyup
1774645301.4604285; a; keyup
1774645301.6206758; w; keydown
1774645301.7384555; w; keyup
1774645301.7786117; i; keydown
1774645301.9105456; i; keyup
1774645301.964622; o; keydown
1774645302.1064372; o; keyup
1774645302.1405592; r; keydown
1774645302.2647257; a; keydown
1774645302.3104756; r; keyup
1774645302.3983352; a; keyup
1774645302.4545486; l; keydown
1774645302.610538; l; keyup
1774645302.800654; n; keydown
1774645302.8605883; a; keydown
1774645303.0004609; n; keyup
1774645303.0484178; a; keyup
1774645303.1386225; Key.space; keydown
1774645303.2644544; Key.space; keyup
1774645303.5606332; j; keydown
1774645303.682666; e; keydown
1774645303.7104352; j; keyup
1774645303.7585638; s; keydown
1774645303.8446171; t; keydown
1774645303.8543525; e; keyup
1774645303.8863785; s; keyup
1774645303.9924958; t; keyup
1774645304.4066114; Key.space; keydown
1774645304.502448; Key.space; keyup
1774645304.624611; b; keydown
1774645304.762617; a; keydown
1774645304.8184345; b; keyup
1774645304.9324656; a; keyup
1774645304.970547; r; keydown
1774645305.098573; r; keyup
1774645305.2206569; d; keydown
1774645305.3026752; z; keydown
1774645305.3745005; d; keyup
1774645305.428436; z; keyup
1774645305.4605975; o; keydown
1774645305.6025221; o; keyup
1774645305.7266161; Key.space; keydown
1774645305.8604815; Key.space; keyup
1774645306.024621; c; keydown
1774645306.1664915; c; keyup
1774645306.4346256; i; keydown
1774645306.5604103; i; keyup
1774645306.5684536; e; keydown
1774645306.706501; e; keyup
1774645306.7264693; k; keydown
1774645306.8544042; k; keyup
1774645306.860486; a; keydown
1774645307.0304492; a; keyup
1774645307.0966065; w; keydown
1774645307.1028137; a; keydown
1774645307.2004473; w; keyup
1774645307.2405; a; keyup
1774645307.7586002; .; keydown
1774645307.910431; .; keyup
1774645308.080706; Key.enter; keydown
1774645308.2345507; Key.enter; keyup
1774645308.5305648; Key.shift_r; keydown
1774645308.8746111; P; keydown
1774645308.9985147; P; keyup
1774645309.0002422; Key.shift_r; keyup
1774645309.1965115; Key.alt_r; keydown
1774645309.370447; Key.alt_r; keyup
1774645309.386477; Key.alt_r; keydown
1774645309.6326387; o; keydown
1774645309.7623992; o; keyup
1774645309.790378; Key.alt_r; keyup
1774645309.8825538; Key.alt_r; keydown
1774645310.2545898; x; keydown
1774645310.4124508; x; keyup
1774645310.4643388; Key.alt_r; keyup
1774645310.6725452; n; keydown
1774645310.8023708; n; keyup
1774645310.8045177; i; keydown
1774645310.8865988; e; keydown
1774645310.9283733; i; keyup
1774645310.9844673; e; keyup
1774645311.0185356; j; keydown
1774645311.1364455; j; keyup
1774645311.1685324; Key.space; keydown
1774645311.2945375; Key.space; keyup
1774645311.404621; w; keydown
1774645311.5385032; w; keyup
1774645311.6865668; Key.alt_r; keydown
1774645311.774501; l; keydown
1774645311.89439; l; keyup
1774645312.0725632; a; keydown
1774645312.1844275; a; keyup
1774645312.2884867; Key.alt_r; keyup
1774645312.7305884; c; keydown
1774645312.8085454; z; keydown
1774645312.8824015; c; keyup
1774645312.956425; z; keyup
1774645313.0305629; Key.space; keydown
1774645313.15243; Key.space; keyup
1774645313.240609; t; keydown
1774645313.3704875; t; keyup
1774645313.4105797; Key.alt_r; keydown
1774645313.512588; e; keydown
1774645313.604394; e; keyup
1774645313.6383593; Key.alt_r; keyup
1774645313.8346772; Key.space; keydown
1774645314.0184944; Key.space; keyup
1774645314.0285149; s; keydown
1774645314.1323733; s; keyup
1774645314.5632887; i; keydown
1774645314.66129; e; keydown
1774645314.7026258; i; keyup
1774645314.8008003; e; keyup
1774645315.0692837; Key.alt_r; keydown
1774645315.2629538; c; keydown
1774645315.3832357; c; keyup
1774645315.3926387; Key.alt_r; keyup
1774645315.5775645; ,; keydown
1774645315.719069; ,; keyup
1774645315.7612188; Key.space; keydown
1774645315.8550718; Key.space; keyup
1774645316.087333; p; keydown
1774645316.1894863; r; keydown
1774645316.2308211; p; keyup
1774645316.2753503; z; keydown
1774645316.3332748; e; keydown
1774645316.3767867; r; keyup
1774645316.4228232; z; keyup
1774645316.4830725; e; keyup
1774645316.6832724; b; keydown
1774645316.8170726; b; keyup
1774645317.0852637; Key.backspace; keydown
1774645317.1869895; Key.backspace; keyup
1774645317.2632766; m; keydown
1774645317.3332584; y; keydown
1774645317.3807356; m; keyup
1774645317.4430134; y; keyup
1774645317.5331805; s; keydown
1774645317.6330228; s; keyup
1774645317.8409858; Key.backspace; keydown
1774645317.9112911; Key.alt_r; keydown
1774645317.9469762; Key.backspace; keyup
1774645318.0032752; s; keydown
1774645318.1270452; s; keyup
1774645318.1282606; Key.alt_r; keyup
1774645318.2027786; l; keydown
1774645318.3344958; l; keyup
1774645318.515296; Key.space; keydown
1774645318.6349273; Key.space; keyup
1774645318.747234; b; keydown
1774645318.8612244; Key.alt_r; keydown
1774645318.8669393; b; keyup
1774645319.0893214; l; keydown
1774645319.2344828; l; keyup
1774645319.3645842; Key.alt_r; keyup
1774645319.5250037; a; keydown
1774645319.6650028; a; keyup
1774645319.9111893; Key.backspace; keydown
1774645319.9468668; Key.alt_r; keydown
1774645320.0185165; Key.backspace; keyup
1774645320.1767645; a; keydown
1774645320.3084328; a; keyup
1774645320.3349671; Key.alt_r; keyup
1774645320.527168; d; keydown
1774645320.6909122; d; keyup
1774645320.9371648; ,; keydown
1774645321.0789096; ,; keyup
1774645321.1731422; Key.space; keydown
1774645321.2928894; Key.space; keyup
1774645321.405161; c; keydown
1774645321.5304837; c; keyup
1774645321.589168; h; keydown
1774645321.7169352; h; keyup
1774645321.753268; Key.alt_r; keydown
1774645321.8531554; l; keydown
1774645321.9649706; l; keyup
1774645321.997064; Key.alt_r; keyup
1774645322.14324; o; keydown
1774645322.2745454; o; keyup
1774645322.4311802; Key.alt_r; keydown
1774645322.551141; n; keydown
1774645322.6729474; Key.alt_r; keyup
1774645322.6849062; n; keyup
1774645323.0468562; Key.space; keydown
1774645323.1485817; Key.space; keyup
1774645323.6291692; Key.alt_r; keydown
1774645323.707008; Key.alt_r; keyup
1774645323.7351403; d; keydown
1774645323.8189042; d; keyup
1774645324.3850732; d; keydown
1774645324.4845483; d; keyup
1774645324.6788855; Key.backspace; keydown
1774645324.7632103; Key.alt_r; keydown
1774645324.7850718; Key.backspace; keyup
1774645324.8652668; x; keydown
1774645324.9849792; Key.alt_r; keyup
1774645324.9929626; x; keyup
1774645325.1732063; w; keydown
1774645325.2964625; w; keyup
1774645325.387126; i; keydown
1774645325.512495; i; keyup
1774645325.623115; Key.alt_r; keydown
1774645325.7571735; e; keydown
1774645325.838887; e; keyup
1774645325.9188862; Key.alt_r; keyup
1774645326.13713; k; keydown
1774645326.2705042; k; keyup
1774645326.487117; Key.space; keydown
1774645326.602856; Key.space; keyup
1774645326.625181; i; keydown
1774645326.744873; i; keyup
1774645327.067012; Key.space; keydown
1774645327.1908534; Key.space; keyup
1774645327.2111318; g; keydown
1774645327.3344815; g; keyup
1774645327.4466994; r; keydown
1774645327.533178; a; keydown
1774645327.594928; r; keyup
1774645327.6729245; a; keyup
1774645327.7151442; f; keydown
1774645327.8349342; f; keyup
1774645327.8364706; i; keydown
1774645327.956994; i; keyup
1774645328.0573623; s; keydown
1774645328.1827142; z; keydown
1774645328.2404711; s; keyup
1774645328.300933; z; keyup
1774645328.37126; c; keydown
1774645328.4530747; z; keydown
1774645328.534837; z; keyup
1774645328.5428383; c; keyup
1774645329.1211643; Key.backspace; keydown
1774645329.2023628; Key.backspace; keyup
1774645329.3091338; Key.backspace; keydown
1774645329.3648996; Key.backspace; keyup
1774645329.483143; Key.backspace; keydown
1774645329.5448987; Key.backspace; keyup
1774645329.6771667; Key.backspace; keydown
1774645329.7227094; Key.backspace; keyup
1774645329.9731724; c; keydown
1774645330.0588782; c; keyup
1774645330.3751378; z; keydown
1774645330.5089295; z; keyup
1774645330.6725929; n; keydown
1774645330.79635; n; keyup
1774645330.8544521; i; keydown
1774645330.929203; e; keydown
1774645330.9586635; i; keyup
1774645331.0305834; e; keyup
1774645331.0586; Key.space; keydown
1774645331.190936; Key.space; keyup
1774645331.2651515; z; keydown
1774645331.4408152; a; keydown
1774645331.4786735; z; keyup
1774645331.528884; a; keyup
1774645331.7012372; Key.alt_r; keydown
1774645331.9111266; z; keydown
1774645331.9728994; z; keyup
1774645332.0049295; Key.alt_r; keyup
1774645332.1210592; Key.alt_r; keydown
1774645332.2650242; o; keydown
1774645332.3807957; o; keyup
1774645332.5290246; l; keydown
1774645332.660474; l; keyup
1774645332.6806905; Key.alt_r; keyup
1774645332.9330826; Key.alt_r; keydown
1774645333.0289798; c; keydown
1774645333.1627727; c; keyup
1774645333.1708622; Key.alt_r; keyup
1774645333.3649967; Key.space; keydown
1774645333.4847622; Key.space; keyup
1774645333.8429947; f; keydown
1774645333.972315; f; keyup
1774645334.1292138; u; keydown
1774645334.234797; u; keyup
1774645334.337115; z; keydown
1774645334.470834; z; keyup
1774645334.6032152; j; keydown
1774645334.718436; j; keyup
1774645334.741027; Key.alt_r; keydown
1774645334.8409665; e; keydown
1774645334.9268198; e; keyup
1774645334.960909; Key.alt_r; keyup
1774645335.0888984; Key.space; keydown
1774645335.2028193; Key.space; keyup
1774645335.3850815; p; keydown
1774645335.5290809; r; keydown
1774645335.5484042; p; keyup
1774645335.6108234; r; keyup
1774645335.7970116; o; keydown
1774645335.9243906; o; keyup
1774645336.1330807; j; keydown
1774645336.2768133; j; keyup
1774645336.287019; e; keydown
1774645336.4127219; e; keyup
1774645336.4746459; k; keydown
1774645336.5927355; k; keyup
1774645336.784956; t; keydown
1774645336.8947363; t; keyup
1774645337.009134; Key.alt_r; keydown
1774645337.0664911; o; keydown
1774645337.2028196; Key.alt_r; keyup
1774645337.2107432; o; keyup
1774645337.2309473; w; keydown
1774645337.33873; w; keyup
1774645337.6189568; .; keydown
1774645337.7767198; .; keyup
1774645338.1169193; Key.enter; keydown
1774645338.1942968; Key.enter; keyup
