1774645126.5407765; Key.shift_r; keydown
1774645126.6460848; W; keydown
1774645126.730377; Key.shift_r; keyup
1774645126.7503736; w; keyup
1774645127.052656; Key.space; keydown
1774645127.2176864; Key.space; keyup
1774645127.3166144; w; keydown
1774645127.4103038; w; keyup
1774645127.5646226; Key.backspace; keydown
1774645127.6957207; Key.backspace; keyup
1774645127.8464887; Key.shift_r; keydown
1774645127.9344923; S; keydown
1774645128.0863044; S; keyup
1774645128.0875247; Key.shift_r; keyup
1774645128.3284895; z; keydown
1774645128.4701974; z; keyup
1774645128.4984515; c; keydown
1774645128.6139607; z; keydown
1774645128.6742158; c; keyup
1774645128.6923876; z; keyup
1774645128.8124251; e; keydown
1774645128.9482086; e; keyup
1774645129.090374; b; keydown
1774645129.1977522; b; keyup
1774645129.332474; r; keydown
1774645129.5522041; r; keyup
1774645129.5684404; e; keydown
1774645129.674212; e; keyup
1774645129.9506006; Key.backspace; keydown
1774645130.0578184; z; keydown
1774645130.099946; Key.backspace; keyup
1774645130.20039; e; keydown
1774645130.214214; z; keyup
1774645130.362155; e; keyup
1774645130.5563786; s; keydown
1774645130.7023716; z; keydown
1774645130.7540884; s; keyup
1774645130.8222497; z; keyup
1774645131.0423524; y; keydown
1774645131.1876044; y; keyup
1774645131.4303527; n; keydown
1774645131.5821068; n; keyup
1774645131.7203572; i; keydown
1774645131.8401167; i; keyup
1774645131.860527; e; keydown
1774645132.0280988; e; keyup
1774645132.101824; Key.space; keydown
1774645132.1902385; Key.space; keyup
1774645132.4663384; c; keydown
1774645132.606099; c; keyup
1774645132.8905888; h; keydown
1774645133.0420744; h; keyup
1774645133.3643305; r; keydown
1774645133.5160668; r; keyup
1774645133.574302; z; keydown
1774645133.7061408; z; keyup
1774645133.7643578; ,; keydown
1774645133.876286; a; keydown
1774645133.954012; ,; keyup
1774645134.0260198; a; keyup
1774645134.2942638; Key.backspace; keydown
1774645134.4179888; Key.backspace; keyup
1774645134.5002418; Key.backspace; keydown
1774645134.5936182; Key.backspace; keyup
1774645135.5542912; Key.alt_r; keydown
1774645135.7596705; Key.alt_r; keyup
1774645136.272314; Key.alt_r; keydown
1774645136.448332; a; keydown
1774645136.5639374; a; keyup
1774645136.7301435; Key.alt_r; keyup
1774645137.2703009; Key.backspace; keydown
1774645137.3715105; Key.backspace; keyup
1774645137.4956799; Key.backspace; keydown
1774645137.5855215; Key.backspace; keyup
1774645138.384107; Key.cmd; keydown
1774645138.6102333; Key.space; keydown
1774645138.7537897; Key.cmd; keyup
1774645138.7638912; Key.space; keyup
1774645138.9339535; Key.alt_r; keydown
1774645139.065651; a; keydown
1774645139.203396; a; keyup
1774645139.2939148; Key.alt_r; keyup
1774645139.742256; s; keydown
1774645139.8958228; z; keydown
1774645139.9579258; s; keyup
1774645140.051863; z; keyup
1774645140.1542342; c; keydown
1774645140.2223456; z; keydown
1774645140.2958972; c; keyup
1774645140.335986; z; keyup
1774645140.6679103; Key.space; keydown
1774645140.769892; Key.space; keyup
1774645140.8321958; b; keydown
1774645140.979508; b; keyup
1774645141.1142044; r; keydown
1774645141.2782922; z; keydown
1774645141.3418915; r; keyup
1774645141.4034033; z; keyup
1774645141.5581675; m; keydown
1774645141.7278674; m; keyup
1774645141.9741595; i; keydown
1774645142.1478894; i; keyup
1774645142.19614; Key.space; keydown
1774645142.2761073; w; keydown
1774645142.3053546; Key.space; keyup
1774645142.403775; w; keyup
1774645142.4180079; Key.space; keydown
1774645142.545477; Key.space; keyup
1774645142.7301388; t; keydown
1774645142.8578253; t; keyup
1774645142.9980783; r; keydown
1774645143.1356635; z; keydown
1774645143.1958528; r; keyup
1774645143.275849; z; keyup
1774645143.5361185; c; keydown
1774645143.7057624; c; keyup
1774645143.765987; i; keydown
1774645143.895744; i; keyup
1774645144.231983; i; keydown
1774645144.357753; i; keyup
1774645144.5299876; Key.backspace; keydown
1774645144.6019764; n; keydown
1774645144.6654377; Key.backspace; keyup
1774645144.6997268; n; keyup
1774645144.7119784; i; keydown
1774645144.8300736; e; keydown
1774645144.839088; i; keyup
1774645144.9177423; e; keyup
1774645145.2660022; .; keydown
1774645145.4197574; .; keyup
1774645146.0240796; Key.enter; keydown
1774645146.0957637; Key.enter; keyup
1774645158.076678; Key.shift_r; keydown
1774645158.2525678; B; keydown
1774645158.3404253; B; keyup
1774645158.352367; Key.shift_r; keyup
1774645158.628609; o; keydown
1774645158.7944162; o; keyup
1774645159.0206213; Key.backspace; keydown
1774645159.160851; i; keydown
1774645159.1738784; Key.backspace; keyup
1774645159.288702; o; keydown
1774645159.3503704; i; keyup
1774645159.4021692; o; keyup
1774645159.5304627; m; keydown
1774645159.6685693; m; keyup
1774645159.7687764; e; keydown
1774645159.9284894; e; keyup
1774645160.0167255; t; keydown
1774645160.1444485; t; keyup
1774645160.2168274; r; keydown
1774645160.339957; r; keyup
1774645160.35671; i; keydown
1774645160.4787426; a; keydown
1774645160.4981668; i; keyup
1774645160.5944571; a; keyup
1774645161.0966263; b; keydown
1774645161.1704867; b; keyup
1774645161.338734; Key.backspace; keydown
1774645161.4067512; Key.space; keydown
1774645161.4562702; Key.backspace; keyup
1774645161.5288634; b; keydown
