1774275780.4813507; Key.shift; keydown
1774275780.768173; W; keydown
1774275780.8258407; Key.shift; keyup
1774275780.883793; w; keyup
1774275781.2923238; s; keydown
1774275781.4042995; z; keydown
1774275781.4279635; s; keyup
1774275781.5282645; z; keyup
1774275781.6068842; c; keydown
1774275781.7002416; z; keydown
1774275781.7178957; c; keyup
1774275781.8142707; z; keyup
1774275781.9208097; e; keydown
1774275781.9865644; e; keyup
1774275782.432396; b; keydown
1774275782.4922557; b; keyup
1774275782.6068099; r; keydown
1774275782.6847057; z; keydown
1774275782.720087; r; keyup
1774275782.8017337; z; keyup
1774275782.8461194; e; keydown
1774275782.9122427; e; keyup
1774275783.1869407; s; keydown
1774275783.298738; z; keydown
1774275783.3300734; s; keyup
1774275783.4002075; z; keyup
1774275783.5427084; y; keydown
1774275783.607953; y; keyup
1774275783.8745847; n; keydown
1774275783.9357843; n; keyup
1774275784.0041277; i; keydown
1774275784.0717783; i; keyup
1774275784.1025681; e; keydown
1774275784.1718018; e; keyup
1774275784.310456; Key.space; keydown
1774275784.3801227; Key.space; keyup
1774275786.210281; Key.left; keydown
1774275786.7440941; Key.left; keyup
1774275787.3898504; Key.backspace; keydown
1774275788.0500498; Key.backspace; keydown
1774275788.090388; Key.backspace; keydown
1774275788.1308777; Key.backspace; keydown
1774275788.1711404; Key.backspace; keydown
1774275788.212199; Key.backspace; keydown
1774275788.2535853; Key.backspace; keydown
1774275788.294045; Key.backspace; keydown
1774275788.3343177; Key.backspace; keydown
1774275788.3751595; Key.backspace; keydown
1774275788.4159403; Key.backspace; keydown
1774275788.4573584; Key.backspace; keydown
1774275788.497445; Key.backspace; keydown
1774275788.5373337; Key.backspace; keydown
1774275788.5781054; Key.backspace; keydown
1774275788.5956218; Key.backspace; keyup
1774275788.8144488; Key.backspace; keydown
1774275788.895875; Key.backspace; keyup
1774275788.9822936; Key.backspace; keydown
1774275789.0618815; Key.backspace; keyup
1774275789.1483903; Key.backspace; keydown
1774275789.227557; Key.backspace; keyup
1774275789.3303812; Key.backspace; keydown
1774275789.3860064; Key.backspace; keyup
1774275789.6902068; Key.space; keydown
1774275789.819371; Key.space; keyup
1774275790.0858042; Key.shift; keydown
1774275790.258378; S; keydown
1774275790.3379567; Key.shift; keyup
1774275790.381872; s; keyup
1774275790.5602965; z; keydown
1774275790.675895; z; keyup
1774275790.7442143; c; keydown
1774275790.8341208; z; keydown
1774275790.8675795; c; keyup
1774275790.957802; z; keyup
1774275791.7521443; e; keydown
1774275791.8135467; e; keyup
1774275792.4358907; b; keydown
1774275792.483442; b; keyup
1774275792.7614863; r; keydown
1774275792.88217; z; keydown
1774275792.8890064; r; keyup
1774275792.9834473; z; keyup
1774275793.3880675; e; keydown
1774275793.46528; e; keyup
1774275793.7600765; s; keydown
1774275793.8751845; s; keyup
1774275794.6677973; z; keydown
1774275794.7636013; z; keyup
1774275795.3499854; y; keydown
1774275795.421551; y; keyup
1774275795.6199698; n; keydown
1774275795.755495; i; keydown
1774275795.773102; n; keyup
1774275795.8317952; e; keydown
1774275795.8514907; i; keyup
1774275795.9075253; e; keyup
1774275796.0379055; Key.space; keydown
1774275796.1250594; Key.space; keyup
1774275796.983515; c; keydown
1774275797.069364; c; keyup
1774275797.159348; h; keydown
1774275797.2209644; h; keyup
1774275797.8075964; r; keydown
1774275797.9057388; z; keydown
1774275797.9591124; r; keyup
1774275798.0473084; z; keyup
1774275798.2337344; Key.alt_r; keydown
1774275798.3417299; a; keydown
1774275798.438914; a; keyup
1774275798.456919; Key.alt_r; keyup
1774275799.2855623; s; keydown
1774275799.419726; z; keydown
1774275799.4286451; s; keyup
1774275799.5328028; z; keyup
1774275799.757371; c; keydown
1774275799.813539; z; keydown
1774275799.852891; c; keyup
1774275799.949258; z; keyup
