1774275512.2923937; Key.shift; keydown
1774275512.5873377; W; keydown
1774275512.6969862; W; keyup
1774275512.7312684; Key.shift; keyup
1774275513.14359; Key.space; keydown
1774275513.231148; Key.space; keyup
1774275513.599706; Key.shift; keydown
1774275513.791583; S; keydown
1774275513.8592021; Key.shift; keyup
1774275513.8931632; s; keyup
1774275514.2110453; c; keydown
1774275514.372899; c; keyup
1774275514.3748167; z; keydown
1774275514.4850893; z; keyup
1774275515.7016022; Key.backspace; keydown
1774275515.7988584; Key.backspace; keyup
1774275515.887364; Key.backspace; keydown
1774275515.9530604; Key.backspace; keyup
1774275516.1053183; z; keydown
1774275516.238551; z; keyup
1774275516.6131659; c; keydown
1774275516.6676383; z; keydown
1774275516.7208564; c; keyup
1774275516.8011239; z; keyup
1774275518.0809839; e; keydown
1774275518.1409295; e; keyup
1774275518.439366; b; keydown
1774275518.488799; b; keyup
1774275519.3252742; r; keydown
1774275519.3991683; z; keydown
1774275519.4546041; r; keyup
1774275519.5367856; z; keyup
1774275519.6052873; e; keydown
1774275519.6743817; e; keyup
1774275520.1111505; s; keydown
1774275520.1971307; z; keydown
1774275520.2059789; s; keyup
1774275520.3267522; z; keyup
1774275520.4431221; y; keydown
1774275520.4942968; y; keyup
1774275520.719123; n; keydown
1774275520.7807298; n; keyup
1774275520.8466537; i; keydown
1774275520.9330409; i; keyup
1774275520.949209; e; keydown
1774275521.002213; e; keyup
1774275521.7011642; Key.space; keydown
1774275521.778506; Key.space; keyup
1774275522.6573145; c; keydown
1774275522.7144597; c; keyup
1774275522.8484497; h; keydown
1774275522.9124577; h; keyup
1774275523.3925898; r; keydown
1774275523.4585907; r; keyup
1774275524.2291434; z; keydown
1774275524.3042753; z; keyup
1774275524.4868877; Key.alt_r; keydown
1774275524.6010764; a; keydown
1774275524.6805196; a; keyup
1774275524.7225437; Key.alt_r; keyup
1774275525.1825285; s; keydown
1774275525.2690868; z; keydown
1774275525.2983234; s; keyup
1774275525.4207447; z; keyup
1774275525.5749903; c; keydown
1774275525.6471043; z; keydown
1774275525.6902494; c; keyup
1774275525.7704258; z; keyup
1774275526.4984434; Key.space; keydown
1774275526.5940607; Key.space; keyup
1774275527.0469358; b; keydown
1774275527.096152; b; keyup
1774275527.3888164; r; keydown
1774275527.4848673; z; keydown
1774275527.5259168; r; keyup
1774275527.6182666; z; keyup
1774275527.748222; m; keydown
1774275527.8163266; m; keyup
1774275527.9007664; i; keydown
1774275527.9541116; i; keyup
1774275528.3723197; Key.space; keydown
1774275528.4603631; Key.space; keyup
1774275528.59885; w; keydown
1774275528.6884053; w; keyup
1774275528.7646978; Key.space; keydown
1774275528.8462539; Key.space; keyup
1774275529.2803984; t; keydown
1774275529.3642817; t; keyup
1774275529.4722927; r; keydown
1774275529.5362306; r; keyup
1774275529.7581732; z; keydown
1774275529.856082; z; keyup
1774275530.1404343; c; keydown
1774275530.2362685; c; keyup
1774275530.3406444; i; keydown
1774275530.4062154; i; keyup
1774275530.5807822; n; keydown
1774275530.648146; n; keyup
1774275530.7406197; i; keydown
1774275530.8122125; i; keyup
1774275530.8404272; e; keydown
1774275530.8961804; e; keyup
1774275532.0005772; .; keydown
1774275532.0601263; .; keyup
1774275532.368202; Key.enter; keydown
1774275532.4341447; Key.enter; keyup
1774275534.6324298; Key.shift; keydown
1774275535.0863993; B; keydown
1774275535.1417775; B; keyup
1774275535.1681762; Key.shift; keyup
1774275535.5023565; i; keydown
1774275535.547443; i; keyup
1774275535.6743963; o; keydown
1774275535.7400022; o; keyup
1774275535.9957938; m; keydown
1774275536.0538127; m; keyup
1774275536.1238518; e; keydown
1774275536.1973937; e; keyup
1774275536.5342767; r; keydown
1774275536.5856223; r; keyup
1774275537.2382622; Key.backspace; keydown
1774275537.3598185; Key.backspace; keyup
1774275537.6023915; t; keydown
1774275537.6962655; r; keydown
1774275537.7674408; t; keyup
1774275537.8378267; r; keyup
1774275539.3364398; i; keydown
1774275539.3575714; i; keyup
