1774266312.0998197; o; keyup
1774266312.2301917; Key.space; keydown
1774266312.2857478; Key.space; keyup
1774266312.3182359; c; keydown
1774266312.397856; c; keyup
1774266312.4401608; i; keydown
1774266312.5033352; i; keyup
1774266312.5817077; e; keydown
1774266312.647365; e; keyup
1774266312.6940722; k; keydown
1774266312.7677937; k; keyup
1774266312.8197658; a; keydown
1774266312.9194877; a; keyup
1774266312.9661827; w; keydown
1774266313.0573173; w; keyup
1774266313.1256564; a; keydown
1774266313.2192526; a; keyup
1774266313.67234; .; keydown
1774266313.7312846; .; keyup
1774266313.8720968; Key.enter; keydown
1774266313.9297762; Key.enter; keyup
1774266314.6422067; Key.caps_lock; keydown
1774266314.7451649; Key.caps_lock; keyup
1774266314.8095427; p; keydown
1774266314.8932085; p; keyup
1774266314.9334629; Key.caps_lock; keydown
1774266315.015219; Key.caps_lock; keyup
1774266315.105628; Key.alt_r; keydown
1774266315.2538815; o; keydown
1774266315.33972; o; keyup
1774266315.4215584; z; keydown
1774266315.4277148; Key.alt_r; keyup
1774266315.501427; z; keyup
1774266315.6615808; n; keydown
1774266315.729301; n; keyup
1774266315.7736638; i; keydown
1774266315.8491945; i; keyup
1774266315.885274; e; keydown
1774266315.9453533; j; keydown
1774266315.9512708; e; keyup
1774266316.0470178; j; keyup
1774266316.2733665; Key.space; keydown
1774266316.3530989; Key.space; keyup
1774266316.385237; w; keydown
1774266316.4590456; w; keyup
1774266316.59808; Key.alt_r; keydown
1774266316.7099679; l; keydown
1774266316.8159733; a; keydown
1774266316.8320544; l; keyup
1774266316.9012554; a; keyup
1774266317.0521963; c; keydown
1774266317.0754278; Key.alt_r; keyup
1774266317.1256227; c; keyup
1774266317.2223256; z; keydown
1774266317.3176036; z; keyup
1774266317.74396; Key.backspace; keydown
1774266317.811578; Key.backspace; keyup
1774266317.8898897; Key.backspace; keydown
1774266317.963197; Key.backspace; keyup
1774266317.981492; c; keydown
1774266318.063636; c; keyup
1774266318.11797; z; keydown
1774266318.1912255; z; keyup
1774266318.3214886; Key.space; keydown
1774266318.383242; Key.space; keyup
1774266319.0359342; t; keydown
1774266319.0932484; t; keyup
1774266319.1754642; Key.alt_r; keydown
1774266319.3156838; e; keydown
1774266319.365079; Key.alt_r; keyup
1774266319.379156; e; keyup
1774266319.5279453; Key.space; keydown
1774266319.58354; Key.space; keyup
1774266319.6119595; s; keydown
1774266319.703617; s; keyup
1774266319.7955508; i; keydown
1774266319.855139; i; keyup
1774266319.9015691; e; keydown
1774266319.961051; e; keyup
1774266320.1259663; Key.alt_r; keydown
1774266320.229837; c; keydown
1774266320.2851222; Key.alt_r; keyup
1774266320.2950804; c; keyup
1774266320.4258738; Key.space; keydown
1774266320.4872763; Key.space; keyup
1774266320.9118938; Key.backspace; keydown
1774266320.9690044; Key.backspace; keyup
1774266321.1598446; ,; keydown
1774266321.221006; ,; keyup
1774266321.3575783; Key.space; keydown
1774266321.4112506; Key.space; keyup
1774266321.5358305; p; keydown
1774266321.6032581; p; keyup
1774266321.609068; r; keydown
1774266321.6852098; r; keyup
1774266321.7755253; z; keydown
1774266321.868983; z; keyup
1774266321.8938694; e; keydown
1774266321.9850605; e; keyup
1774266322.027608; m; keydown
1774266322.0929837; m; keyup
1774266322.2537816; y; keydown
1774266322.326967; y; keyup
1774266322.5234275; Key.alt_r; keydown
1774266322.613633; s; keydown
1774266322.665048; Key.alt_r; keyup
1774266322.6852667; s; keyup
1774266322.7718315; l; keydown
1774266322.8428926; l; keyup
1774266323.6021779; Key.space; keydown
1774266323.6531408; Key.space; keyup
1774266323.9892514; Key.backspace; keydown
1774266324.0752952; Key.backspace; keyup
