1774266371.8939312; e; keydown
1774266371.989193; e; keyup
1774266372.313855; s; keydown
1774266372.4051373; s; keyup
1774266372.527933; t; keydown
1774266372.6076112; t; keyup
1774266372.695342; Key.space; keydown
1774266372.7614477; Key.space; keyup
1774266372.9878092; b; keydown
1774266373.0516107; b; keyup
1774266373.0817695; a; keydown
1774266373.182987; a; keyup
1774266373.3258126; r; keydown
1774266373.4154701; r; keyup
1774266373.5235739; d; keydown
1774266373.6150584; d; keyup
1774266373.6737182; z; keydown
1774266373.7472842; o; keydown
1774266373.7650363; z; keyup
1774266373.813304; o; keyup
1774266373.9392242; Key.space; keydown
1774266374.0011692; Key.space; keyup
1774266374.0118353; c; keydown
1774266374.0990033; c; keyup
1774266374.1513596; i; keydown
1774266374.2135131; i; keyup
1774266374.265789; e; keydown
1774266374.3349993; e; keyup
1774266374.3873763; k; keydown
1774266374.466989; k; keyup
1774266374.5236845; a; keydown
1774266374.6449625; a; keyup
1774266374.6857593; w; keydown
1774266374.838938; w; keyup
1774266374.859031; a; keydown
1774266374.9589722; a; keyup
1774266375.513691; .; keydown
1774266375.5731034; .; keyup
1774266375.7236867; Key.enter; keydown
1774266375.7690556; Key.enter; keyup
1774266376.6082163; Key.caps_lock; keydown
1774266376.6993852; Key.caps_lock; keyup
1774266376.7835867; p; keydown
1774266376.8512356; p; keyup
1774266376.8872428; Key.caps_lock; keydown
1774266376.9695415; Key.caps_lock; keyup
1774266377.0697057; Key.alt_r; keydown
1774266377.2077537; o; keydown
1774266377.3687825; o; keyup
1774266377.4128428; Key.alt_r; keyup
1774266377.5454087; Key.alt_r; keydown
1774266377.729693; x; keydown
1774266377.7949483; x; keyup
1774266377.8290057; Key.alt_r; keyup
1774266378.001226; n; keydown
1774266378.0752487; n; keyup
1774266378.1330755; i; keydown
1774266378.2253194; i; keyup
1774266378.275174; e; keydown
1774266378.3407016; e; keyup
1774266378.36111; j; keydown
1774266378.4392345; j; keyup
1774266378.591129; Key.space; keydown
1774266378.6571956; Key.space; keyup
1774266378.8055577; w; keydown
1774266378.8746886; w; keyup
1774266378.9693422; Key.alt_r; keydown
1774266379.0977244; l; keydown
1774266379.1852427; l; keyup
1774266379.2435515; a; keydown
1774266379.3611226; a; keyup
1774266379.4272473; Key.alt_r; keyup
1774266379.5150745; c; keydown
1774266379.611259; c; keyup
1774266379.6811287; z; keydown
1774266379.7771735; z; keyup
1774266380.4776595; Key.space; keydown
1774266380.5310454; Key.space; keyup
1774266380.8397121; t; keydown
1774266380.9127336; t; keyup
1774266381.0131404; Key.alt_r; keydown
1774266381.2018328; e; keydown
1774266381.2470777; e; keyup
1774266381.317121; Key.alt_r; keyup
1774266381.4615896; Key.space; keydown
1774266381.5191567; Key.space; keyup
1774266381.5430079; s; keydown
1774266381.635123; s; keyup
1774266381.7115808; i; keydown
1774266381.7731142; i; keyup
