1774265735.9091501; Key.shift_r; keydown
1774265736.068365; W; keydown
1774265736.164065; W; keyup
1774265736.192159; Key.shift_r; keyup
1774265736.3122404; s; keydown
1774265736.4815648; s; keyup
1774265736.879851; Key.backspace; keydown
1774265736.9034133; Key.backspace; keyup
1774265737.4144607; Key.space; keydown
1774265737.5079854; Key.space; keyup
1774265737.6378484; Key.shift_r; keydown
1774265737.689815; S; keydown
1774265737.8295548; S; keyup
1774265737.8795848; Key.shift_r; keyup
1774265737.9118798; z; keydown
1774265738.0414715; z; keyup
1774265738.1978235; c; keydown
1774265738.3197968; z; keydown
1774265738.3434699; c; keyup
1774265738.4621427; z; keyup
1774265738.520306; e; keydown
1774265738.630135; e; keyup
1774265738.8459513; b; keydown
1774265738.9320042; b; keyup
1774265739.0277967; r; keydown
1774265739.1220393; r; keyup
1774265739.3158913; z; keydown
1774265739.4280438; z; keyup
1774265739.5525138; e; keydown
1774265739.6200492; e; keyup
1774265739.7646372; s; keydown
1774265739.845959; s; keyup
1774265739.9677725; z; keydown
1774265740.095621; z; keyup
1774265740.1141155; y; keydown
1774265740.173589; y; keyup
1774265740.348325; n; keydown
1774265740.4545548; i; keydown
1774265740.5120816; n; keyup
1774265740.5439873; e; keydown
1774265740.5499535; i; keyup
1774265740.6380026; e; keyup
1774265740.7241035; Key.space; keydown
1774265740.8133996; Key.space; keyup
1774265741.4183698; c; keydown
1774265741.532016; c; keyup
1774265741.9138772; r; keydown
1774265742.010015; r; keyup
1774265742.1119936; z; keydown
1774265742.2341309; z; keyup
1774265742.3443546; Key.alt_r; keydown
1774265742.4717422; a; keydown
1774265742.557401; a; keyup
1774265742.5732524; Key.alt_r; keyup
1774265742.9297528; s; keydown
1774265742.9895058; s; keyup
1774265743.0739648; s; keydown
1774265743.1256082; s; keyup
1774265743.8502607; Key.backspace; keydown
1774265743.9756582; Key.backspace; keyup
1774265744.0525546; z; keydown
1774265744.1564145; c; keydown
1774265744.1759; z; keyup
1774265744.3521225; c; keyup
1774265744.806258; Key.backspace; keydown
1774265744.8539727; Key.backspace; keyup
1774265745.614053; c; keydown
1774265745.6904635; z; keydown
1774265745.7536042; c; keyup
1774265745.8700988; z; keyup
1774265746.0423887; Key.space; keydown
1774265746.1760635; Key.space; keyup
1774265746.2802684; b; keydown
1774265746.3737047; b; keyup
1774265746.414875; r; keydown
1774265746.4916852; r; keyup
1774265746.6941223; z; keydown
1774265746.8216896; z; keyup
1774265746.8724911; m; keydown
1774265746.9864154; i; keydown
1774265747.0815487; m; keyup
1774265747.095563; i; keyup
1774265747.2985232; Key.space; keydown
1774265747.3981779; Key.space; keyup
1774265747.4983745; w; keydown
1774265747.5881844; w; keyup
1774265748.2366445; Key.backspace; keydown
1774265748.2756274; Key.backspace; keyup
1774265748.3986125; Key.backspace; keydown
1774265748.4795237; Key.backspace; keyup
1774265749.2900646; Key.backspace; keydown
1774265749.3582277; Key.backspace; keyup
1774265749.4424782; Key.backspace; keydown
1774265749.5141058; Key.backspace; keyup
1774265749.5920472; Key.backspace; keydown
1774265749.66223; Key.backspace; keyup
1774265749.736518; Key.backspace; keydown
1774265749.8061247; Key.backspace; keyup
1774265749.8782241; Key.backspace; keydown
1774265749.9555826; Key.backspace; keyup
1774265750.0261476; Key.backspace; keydown
1774265750.0917492; Key.backspace; keyup
1774265750.1680572; Key.backspace; keydown
1774265750.2418587; Key.backspace; keyup
1774265750.3127394; Key.backspace; keydown
1774265750.384254; Key.backspace; keyup
1774265750.4540012; Key.backspace; keydown
1774265750.5296724; Key.backspace; keyup
1774265750.6020443; Key.backspace; keydown
1774265750.674464; Key.backspace; keyup
1774265750.7587547; Key.backspace; keydown
1774265750.8381152; Key.backspace; keyup
1774265750.920554; Key.backspace; keydown
1774265751.02044; Key.backspace; keyup
1774265751.1861172; Key.backspace; keydown
1774265751.2982972; Key.backspace; keyup
1774265751.81436; h; keydown
1774265751.9057488; h; keyup
1774265752.316574; r; keydown
1774265752.4137976; r; keyup
1774265752.5244987; z; keydown
1774265752.6584773; z; keyup
