1774261781.9882257; Key.shift; keydown
1774261782.360758; W; keydown
1774261782.41656; Key.shift; keyup
1774261782.4765623; w; keyup
1774261782.5288177; Key.space; keydown
1774261782.6004512; Key.space; keyup
1774261782.6667984; s; keydown
1774261782.7405193; s; keyup
1774261782.9548705; Key.backspace; keydown
1774261783.0146894; Key.backspace; keyup
1774261783.0334916; Key.shift; keydown
1774261783.1047835; S; keydown
1774261783.1549342; Key.shift; keyup
1774261783.1968558; s; keyup
1774261783.2871587; z; keydown
1774261783.3788617; c; keydown
1774261783.3824244; z; keyup
1774261783.4828274; z; keydown
1774261783.5067127; c; keyup
1774261783.5733624; z; keyup
1774261783.662946; e; keydown
1774261783.7407408; e; keyup
1774261783.836934; b; keydown
1774261783.8886628; b; keyup
1774261783.9629683; r; keydown
1774261784.0206687; r; keyup
1774261784.0949967; z; keydown
1774261784.20642; z; keyup
1774261784.233124; e; keydown
1774261784.316592; e; keyup
1774261784.3929353; s; keydown
1774261784.4866447; s; keyup
1774261784.5389245; z; keydown
1774261784.5906544; z; keyup
1774261784.628878; y; keydown
1774261784.696632; y; keyup
1774261784.8108084; n; keydown
1774261784.8707998; i; keydown
1774261784.8971727; n; keyup
1774261784.9192166; e; keydown
1774261784.9667408; i; keyup
1774261785.0127196; e; keyup
1774261785.0146787; Key.space; keydown
1774261785.0648148; Key.space; keyup
1774261785.430899; h; keydown
1774261785.4846702; h; keyup
1774261785.6909318; Key.backspace; keydown
1774261785.754617; Key.backspace; keyup
1774261785.8188584; c; keydown
1774261785.8955562; c; keyup
1774261785.9068027; h; keydown
1774261785.9747171; h; keyup
1774261786.1248112; r; keydown
1774261786.204889; r; keyup
1774261786.382866; z; keydown
1774261786.4708097; z; keyup
1774261786.5450888; Key.alt_r; keydown
1774261786.6433046; a; keydown
1774261786.716764; a; keyup
1774261786.730883; Key.alt_r; keyup
1774261786.8227115; s; keydown
1774261786.8925903; s; keyup
1774261786.9568784; z; keydown
1774261787.0428808; z; keyup
1774261787.081637; c; keydown
1774261787.1588876; z; keydown
1774261787.1908596; c; keyup
1774261787.2326753; z; keyup
1774261787.2908862; Key.space; keydown
1774261787.3546097; Key.space; keyup
1774261787.4769018; b; keydown
1774261787.5286539; b; keyup
1774261787.5746894; r; keydown
1774261787.6487396; r; keyup
1774261787.7408414; z; keydown
1774261787.8066702; z; keyup
1774261787.8628662; m; keydown
1774261787.923063; i; keydown
1774261787.9305584; m; keyup
1774261787.9925756; i; keyup
1774261787.9947374; Key.space; keydown
1774261788.0566924; Key.space; keyup
1774261788.0915525; w; keydown
1774261788.195098; Key.space; keydown
1774261788.205096; w; keyup
1774261788.2687163; Key.space; keyup
1774261788.3749485; t; keydown
1774261788.4547992; t; keyup
1774261788.5589504; r; keydown
1774261788.6307304; r; keyup
1774261788.6909854; z; keydown
1774261788.7926443; z; keyup
1774261788.8589938; c; keydown
1774261788.922556; c; keyup
1774261788.9330356; i; keydown
1774261789.0109277; i; keyup
1774261789.0429647; n; keydown
1774261789.1328516; n; keyup
1774261789.1451201; i; keydown
1774261789.2287424; i; keyup
1774261789.3091311; e; keydown
1774261789.3948164; e; keyup
1774261789.913195; .; keydown
1774261789.954732; .; keyup
1774261790.0709908; Key.enter; keydown
1774261790.1413584; Key.enter; keyup
1774261790.6951234; Key.shift; keydown
1774261791.423054; B; keydown
1774261791.4807625; B; keyup
1774261791.4867878; Key.shift; keyup
1774261791.5648878; i; keydown
1774261791.6432948; i; keyup
1774261791.6449223; o; keydown
1774261791.732689; m; keydown
1774261791.7546523; o; keyup
1774261791.8127089; m; keyup
1774261791.8874936; e; keydown
1774261791.9528883; e; keyup
1774261792.080968; t; keydown
1774261792.1527638; t; keyup
1774261792.2410078; r; keydown
1774261792.3129597; r; keyup
1774261792.3568943; i; keydown
1774261792.42483; i; keyup
1774261792.4270594; a; keydown
1774261792.5126572; a; keyup
1774261792.5248835; Key.space; keydown
