1774729671.3876195; Key.shift; keydown
1774729671.8828707; W; keydown
1774729671.945486; Key.shift; keyup
1774729672.0208335; w; keyup
1774729672.1748857; Key.space; keydown
1774729672.2952502; Key.space; keyup
1774729672.478303; s; keydown
1774729672.5823839; s; keyup
1774729672.681672; z; keydown
1774729672.784571; z; keyup
1774729672.9039114; c; keydown
1774729673.0473037; c; keyup
1774729673.0528567; z; keydown
1774729673.183695; z; keyup
1774729673.3415225; e; keydown
1774729673.4836771; e; keyup
1774729673.8998632; b; keydown
1774729673.9799473; b; keyup
1774729674.0440612; r; keydown
1774729674.133077; r; keyup
1774729674.2933042; z; keydown
1774729674.3778148; z; keyup
1774729674.479182; e; keydown
1774729674.578912; e; keyup
1774729674.7112157; s; keydown
1774729674.7863235; s; keyup
1774729674.8932242; z; keydown
1774729675.0253732; z; keyup
1774729675.0668082; y; keydown
1774729675.1331549; y; keyup
1774729675.3658679; n; keydown
1774729675.400438; n; keyup
1774729675.5986702; e; keydown
1774729675.6991522; e; keyup
1774729676.7816868; Key.backspace; keydown
1774729676.837189; Key.backspace; keyup
1774729677.1868165; n; keydown
1774729677.2659993; n; keyup
1774729677.3396785; i; keydown
1774729677.4226851; i; keyup
1774729677.4568589; e; keydown
1774729677.548541; e; keyup
1774729677.7618458; Key.space; keydown
1774729677.9419253; Key.space; keyup
1774729678.744982; c; keydown
1774729678.9007638; c; keyup
1774729678.9253063; h; keydown
1774729678.9891038; h; keyup
1774729679.3567953; r; keydown
1774729679.3943255; r; keyup
1774729679.6700442; z; keydown
1774729679.7958944; z; keyup
1774729680.4049654; Key.ctrl_l; keydown
1774729680.4072592; Key.alt_gr; keydown
1774729680.5886567; ą; keydown
1774729680.6984718; Key.ctrl_l; keyup
1774729680.6994674; Key.alt_gr; keyup
1774729680.7057412; a; keyup
1774729680.9159374; s; keydown
1774729681.014135; s; keyup
1774729681.1558764; z; keydown
1774729681.2946684; z; keyup
1774729681.4313362; c; keydown
1774729681.5811813; c; keyup
1774729681.6157866; z; keydown
1774729681.691395; z; keyup
1774729681.9267201; Key.space; keydown
1774729682.0378525; Key.space; keyup
1774729682.2150106; b; keydown
1774729682.328636; b; keyup
1774729682.4446456; r; keydown
1774729682.5350487; r; keyup
1774729682.999923; z; keydown
1774729683.113744; z; keyup
1774729683.307986; i; keydown
1774729683.3918438; i; keyup
1774729683.5474863; Key.space; keydown
1774729683.7014017; Key.space; keyup
1774729684.1027923; Key.backspace; keydown
1774729684.1766834; Key.backspace; keyup
1774729684.2794967; Key.backspace; keydown
1774729684.3447645; Key.backspace; keyup
1774729684.4318435; Key.backspace; keydown
1774729684.4971688; Key.backspace; keyup
1774729685.0730324; z; keydown
1774729685.233814; z; keyup
1774729685.3801174; m; keydown
1774729685.456133; m; keyup
1774729685.5207012; i; keydown
1774729685.5863838; i; keyup
1774729686.369904; Key.space; keydown
1774729686.5398958; Key.space; keyup
1774729686.6367257; w; keydown
1774729686.7592592; w; keyup
1774729686.7783995; Key.space; keydown
1774729686.8794458; Key.space; keyup
1774729687.5647628; t; keydown
1774729687.6605086; t; keyup
1774729687.7922604; r; keydown
1774729687.9099355; r; keyup
1774729688.4265692; c; keydown
1774729688.505898; c; keyup
1774729688.5883794; i; keydown
1774729688.6718144; i; keyup
1774729688.7654884; n; keydown
1774729688.860351; n; keyup
1774729688.9019003; i; keydown
1774729689.0077317; i; keyup
1774729689.0611844; e; keydown
1774729689.1665647; e; keyup
1774729690.7264855; Key.backspace; keydown
1774729690.8119838; Key.backspace; keyup
1774729690.9296894; Key.backspace; keydown
1774729690.9871554; Key.backspace; keyup
1774729691.090791; Key.backspace; keydown
1774729691.1619153; Key.backspace; keyup
1774729691.2477717; Key.backspace; keydown
1774729691.319647; Key.backspace; keyup
1774729691.4139042; Key.backspace; keydown
1774729691.4945912; Key.backspace; keyup
1774729691.7654376; z; keydown
1774729691.8848217; z; keyup
1774729692.4148846; c; keydown
1774729692.5638125; c; keyup
1774729692.6076171; i; keydown
1774729692.6920183; i; keyup
1774729692.8015578; n; keydown
1774729692.8876324; n; keyup
1774729692.9370892; i; keydown
1774729693.0343297; e; keydown
1774729693.0419223; i; keyup
1774729693.1674721; e; keyup
1774729693.841316; .; keydown
1774729693.9109528; .; keyup
1774729694.4099016; Key.enter; keydown
1774729694.4788888; Key.enter; keyup
1774729695.6170292; Key.shift; keydown
1774729695.9101453; B; keydown
1774729696.0018678; B; keyup
1774729696.0462022; Key.shift; keyup
1774729696.1612213; i; keydown
1774729696.2365582; i; keyup
1774729696.3228946; o; keydown
1774729696.3978362; o; keyup
1774729696.709475; e; keydown
1774729696.8213334; e; keyup
1774729697.1652026; r; keydown
1774729697.2860446; r; keyup
1774729697.3245926; i; keydown
1774729697.4034994; i; keyup
1774729697.5373998; a; keydown
1774729697.648653; a; keyup
1774729697.7236607; Key.space; keydown
1774729697.8373396; Key.space; keyup
1774729699.582981; Key.backspace; keydown
1774729699.6936698; Key.backspace; keyup
1774729699.7609015; Key.backspace; keydown
1774729699.846009; Key.backspace; keyup
1774729699.9193244; Key.backspace; keydown
1774729699.9850996; Key.backspace; keyup
1774729700.0653362; Key.backspace; keydown
1774729700.145792; Key.backspace; keyup
1774729700.2200274; Key.backspace; keydown
1774729700.301925; Key.backspace; keyup
1774729701.0812097; m; keydown
1774729701.1563199; m; keyup
1774729701.3423007; e; keydown
1774729701.4349718; e; keyup
1774729701.6118767; t; keydown
1774729701.664729; t; keyup
1774729701.8169682; r; keydown
1774729701.943402; r; keyup
1774729701.9672396; i; keydown
1774729702.0408506; i; keyup
1774729702.1483743; a; keydown
1774729702.2463884; a; keyup
1774729702.377664; Key.space; keydown
1774729702.5139453; Key.space; keyup
1774729703.1108835; Key.shift; keydown
1774729703.4186242; Key.shift; keyup
1774729703.7039642; b; keydown
1774729703.7840953; b; keyup
1774729703.9064689; e; keydown
1774729704.0016186; e; keyup
1774729704.267825; g; keydown
1774729704.3663657; g; keyup
1774729704.6926732; Key.backspace; keydown
1774729704.836012; Key.backspace; keyup
1774729705.0012968; h; keydown
1774729705.0930474; h; keyup
1774729705.3669684; a; keydown
1774729705.510313; a; keyup
1774729706.2545693; w; keydown
1774729706.3862658; w; keyup
1774729706.466519; i; keydown
1774729706.5311775; i; keyup
1774729706.6361465; o; keydown
1774729706.704216; o; keyup
1774729706.7618983; r; keydown
1774729706.8456197; r; keyup
1774729706.949561; a; keydown
1774729707.027512; l; keydown
1774729707.0346699; a; keyup
1774729707.0931306; l; keyup
1774729707.2346363; n; keydown
1774729707.32749; n; keyup
1774729707.4373555; a; keydown
1774729707.5700717; a; keyup
1774729707.6288435; Key.space; keydown
1774729707.7401235; Key.space; keyup
1774729708.014114; j; keydown
1774729708.0966046; j; keyup
1774729708.1454873; e; keydown
1774729708.2084064; e; keyup
1774729708.3416502; s; keydown
1774729708.4611616; t; keydown
1774729708.4703825; s; keyup
1774729708.5329256; t; keyup
1774729708.673202; Key.space; keydown
1774729708.7565267; Key.space; keyup
1774729709.2344952; n; keydown
1774729709.2883346; n; keyup
1774729710.1682396; Key.backspace; keydown
1774729710.2565572; Key.backspace; keyup
1774729710.487237; b; keydown
1774729710.5574565; b; keyup
1774729710.6163957; a; keydown
1774729710.6948786; a; keyup
1774729710.8487327; r; keydown
1774729710.9062839; r; keyup
1774729711.0480514; d; keydown
1774729711.1776874; d; keyup
1774729711.2854836; z; keydown
1774729711.3053193; o; keydown
1774729711.3557992; z; keyup
1774729711.3898914; o; keyup
1774729711.5615797; Key.space; keydown
1774729711.6733594; Key.space; keyup
1774729712.081385; c; keydown
1774729712.2201867; c; keyup
1774729712.3019958; i; keydown
1774729712.3716905; i; keyup
1774729712.4350638; e; keydown
1774729712.5282607; e; keyup
1774729712.5791888; k; keydown
1774729712.6253839; k; keyup
1774729712.6960363; a; keydown
1774729712.790475; a; keyup
1774729712.8320534; a; keydown
1774729712.8903892; a; keyup
1774729712.9924383; a; keydown
1774729713.1446006; a; keyup
1774729713.5697162; Key.backspace; keydown
1774729713.6513805; Key.backspace; keyup
1774729714.886754; Key.backspace; keydown
1774729714.9751062; Key.backspace; keyup
1774729716.5670633; w; keydown
1774729716.6750312; w; keyup
1774729716.8314958; a; keydown
1774729716.988118; a; keyup
1774729717.6638331; .; keydown
1774729717.7304416; .; keyup
1774729718.2308712; Key.enter; keydown
1774729718.279665; Key.enter; keyup
1774729719.4604893; Key.shift; keydown
1774729719.8089516; P; keydown
1774729719.9404674; P; keyup
1774729719.959606; Key.shift; keyup
1774729720.2998679; Key.ctrl_l; keydown
1774729720.3009763; Key.alt_gr; keydown
1774729720.4845004; ó; keydown
1774729720.5553164; Key.ctrl_l; keyup
1774729720.5562816; Key.alt_gr; keyup
1774729720.628065; o; keyup
1774729721.0886602; Key.ctrl_l; keydown
1774729721.0896683; Key.alt_gr; keydown
1774729721.4822989; ź; keydown
1774729721.5394971; Key.ctrl_l; keyup
1774729721.540249; Key.alt_gr; keyup
1774729721.603121; x; keyup
1774729721.6937406; n; keydown
1774729721.7626069; n; keyup
1774729721.834903; i; keydown
1774729721.9510705; i; keyup
1774729721.9545429; e; keydown
1774729722.0256457; e; keyup
1774729722.0857306; j; keydown
1774729722.1468673; j; keyup
1774729722.3486943; Key.space; keydown
1774729722.5193357; Key.space; keyup
1774729724.2290244; w; keydown
1774729724.3355885; w; keyup
1774729724.833063; Key.ctrl_l; keydown
1774729724.8342965; Key.alt_gr; keydown
1774729724.9587388; ł; keydown
1774729725.0325382; Key.ctrl_l; keyup
1774729725.0334315; Key.alt_gr; keyup
1774729725.1077676; l; keyup
1774729725.4179327; Key.ctrl_l; keydown
1774729725.419001; Key.alt_gr; keydown
1774729725.5886874; ą; keydown
1774729725.7148623; Key.ctrl_l; keyup
1774729725.7158463; Key.alt_gr; keyup
1774729725.760271; a; keyup
1774729725.9845443; c; keydown
1774729726.1342804; c; keyup
1774729726.156786; z; keydown
1774729726.290169; z; keyup
1774729726.6566327; Key.space; keydown
1774729726.7718093; Key.space; keyup
1774729728.0229163; Key.ctrl_l; keydown
1774729728.0239108; Key.alt_gr; keydown
1774729728.1235118; ę; keydown
1774729728.2770698; Key.ctrl_l; keyup
1774729728.278309; Key.alt_gr; keyup
1774729728.3309267; e; keyup
1774729729.0398493; Key.backspace; keydown
1774729729.1026623; Key.backspace; keyup
1774729729.3759995; t; keydown
1774729729.4639492; t; keyup
1774729729.7597919; Key.ctrl_l; keydown
1774729729.7608202; Key.alt_gr; keydown
1774729729.8742638; ę; keydown
1774729730.0029876; Key.ctrl_l; keyup
1774729730.0043025; Key.alt_gr; keyup
1774729730.008584; e; keyup
1774729730.1100202; Key.space; keydown
1774729730.21433; Key.space; keyup
1774729731.1146417; s; keydown
1774729731.2983043; s; keyup
1774729731.3079677; i; keydown
1774729731.392975; i; keyup
1774729731.4490793; e; keydown
1774729731.5411093; e; keyup
1774729731.6990273; Key.ctrl_l; keydown
1774729731.70004; Key.alt_gr; keydown
1774729731.7838976; ć; keydown
1774729731.8929923; Key.ctrl_l; keyup
1774729731.8938417; Key.alt_gr; keyup
1774729731.8969233; c; keyup
1774729732.0647018; Key.space; keydown
1774729732.117603; Key.space; keyup
1774729732.8263674; Key.backspace; keydown
1774729732.895327; Key.backspace; keyup
1774729733.2456706; ,; keydown
1774729733.3394399; ,; keyup
1774729733.4523234; Key.space; keydown
1774729733.563221; Key.space; keyup
1774729734.5011287; p; keydown
1774729734.5886602; p; keyup
1774729734.6401465; r; keydown
1774729734.7205799; r; keyup
1774729734.8677933; z; keydown
1774729734.9603086; z; keyup
1774729735.072493; e; keydown
1774729735.1473637; e; keyup
1774729735.583319; y; keydown
1774729735.662231; y; keyup
1774729736.0334866; Key.ctrl_l; keydown
1774729736.03552; Key.alt_gr; keydown
1774729736.102278; ś; keydown
1774729736.1626458; Key.ctrl_l; keyup
1774729736.163517; Key.alt_gr; keyup
1774729736.197195; s; keyup
1774729736.334127; l; keydown
1774729736.4158044; l; keyup
1774729736.9107342; Key.space; keydown
1774729736.978847; Key.space; keyup
1774729737.347922; b; keydown
1774729737.4365222; b; keyup
1774729737.7041159; Key.menu; keydown
1774729737.7478666; Key.menu; keyup
1774729737.7833335; Key.menu; keydown
1774729737.8185804; l; keydown
1774729737.8628774; Key.menu; keyup
1774729737.9691799; l; keyup
1774729738.2294862; a; keydown
1774729738.338467; a; keyup
1774729738.5292342; d; keydown
1774729738.701681; d; keyup
1774729741.6945038; Key.backspace; keydown
1774729741.7656202; Key.backspace; keyup
1774729743.4462342; Key.backspace; keydown
1774729743.559547; Key.backspace; keyup
1774729744.2834926; Key.ctrl_l; keydown
1774729744.2842638; Key.alt_gr; keydown
1774729744.6328115; Key.ctrl_l; keyup
1774729744.633731; Key.alt_gr; keyup
1774729745.1538067; Key.backspace; keydown
1774729745.2140002; Key.backspace; keyup
1774729745.643775; Key.ctrl_l; keydown
1774729745.644763; Key.alt_gr; keydown
1774729745.8071086; ł; keydown
1774729745.8878915; Key.ctrl_l; keyup
1774729745.8886235; Key.alt_gr; keyup
1774729745.964761; l; keyup
1774729746.567825; Key.ctrl_l; keydown
1774729746.5685651; Key.alt_gr; keydown
1774729746.7010746; ą; keydown
1774729746.8149295; Key.ctrl_l; keyup
1774729746.8158405; Key.alt_gr; keyup
1774729746.8423767; a; keyup
1774729747.1130645; s; keydown
1774729747.2082431; s; keyup
1774729747.9750097; Key.backspace; keydown
1774729748.0371041; Key.backspace; keyup
1774729748.1926935; d; keydown
1774729748.302147; d; keyup
1774729749.5686698; Key.space; keydown
1774729749.6721592; Key.space; keyup
1774729749.8648663; c; keydown
1774729750.000287; c; keyup
1774729750.0312195; h; keydown
1774729750.1008656; h; keyup
1774729751.325547; Key.backspace; keydown
1774729751.4301174; Key.backspace; keyup
1774729751.5069456; Key.backspace; keydown
1774729751.5673344; Key.backspace; keyup
1774729751.6560676; Key.backspace; keydown
1774729751.718503; Key.backspace; keyup
1774729752.4604392; ,; keydown
1774729752.573844; ,; keyup
1774729752.7132063; Key.space; keydown
1774729752.8284106; Key.space; keyup
1774729753.0468392; c; keydown
1774729753.1603653; c; keyup
1774729753.2288725; h; keydown
1774729753.297537; h; keyup
1774729753.9629989; Key.ctrl_l; keydown
1774729753.9642868; Key.alt_gr; keydown
1774729754.1528587; ł; keydown
1774729754.2124424; Key.ctrl_l; keyup
1774729754.213341; Key.alt_gr; keyup
1774729754.2971299; l; keyup
1774729754.420248; o; keydown
1774729754.4825673; o; keyup
1774729754.66559; Key.ctrl_l; keydown
1774729754.6664355; Key.alt_gr; keydown
1774729754.7910347; ń; keydown
