1774729779.557495; Key.shift; keydown
1774729779.9479036; W; keydown
1774729780.0654395; Key.shift; keyup
1774729780.1023755; w; keyup
1774729780.3273537; Key.space; keydown
1774729780.439794; Key.space; keyup
1774729780.5969017; Key.shift; keydown
1774729780.768505; S; keydown
1774729780.8495674; Key.shift; keyup
1774729780.8761234; s; keyup
1774729780.9413574; z; keydown
1774729781.0253444; z; keyup
1774729781.2652614; c; keydown
1774729781.4163685; z; keydown
1774729781.421384; c; keyup
1774729781.5739698; z; keyup
1774729781.6694167; e; keydown
1774729781.7064662; e; keyup
1774729782.1551466; b; keydown
1774729782.2460384; b; keyup
1774729782.3057997; r; keydown
1774729782.392507; r; keyup
1774729782.5359397; z; keydown
1774729782.6371002; z; keyup
1774729782.7430248; e; keydown
1774729782.8307433; e; keyup
1774729782.9557269; s; keydown
1774729783.0625775; s; keyup
1774729783.195712; z; keydown
1774729783.3276749; z; keyup
1774729783.3374443; y; keydown
1774729783.3995824; y; keyup
1774729783.6784213; i; keydown
1774729783.790242; i; keyup
1774729783.7978492; e; keydown
1774729783.91085; e; keyup
1774729785.1956651; Key.backspace; keydown
1774729785.295632; Key.backspace; keyup
1774729785.3773305; Key.backspace; keydown
1774729785.4529326; Key.backspace; keyup
1774729786.1286008; n; keydown
1774729786.2289965; n; keyup
1774729786.2670603; i; keydown
1774729786.3883271; i; keyup
1774729786.4163346; e; keydown
1774729786.5175307; e; keyup
1774729786.6721947; Key.space; keydown
1774729786.7968159; Key.space; keyup
1774729787.3992548; c; keydown
1774729787.5315394; c; keyup
1774729787.5761871; h; keydown
1774729787.646257; h; keyup
1774729787.864981; r; keydown
1774729787.9176629; r; keyup
1774729788.1577938; z; keydown
1774729788.2633212; z; keyup
1774729788.430722; Key.ctrl_l; keydown
1774729788.4322035; Key.alt_gr; keydown
1774729788.5750523; ą; keydown
1774729788.6960843; Key.ctrl_l; keyup
1774729788.6970522; Key.alt_gr; keyup
1774729788.7194738; a; keyup
1774729789.1563315; s; keydown
1774729789.2675292; s; keyup
1774729789.3596573; z; keydown
1774729789.4588397; z; keyup
1774729789.5886314; c; keydown
1774729789.7116485; c; keyup
1774729789.7214785; z; keydown
1774729789.8770123; z; keyup
1774729790.0068054; Key.space; keydown
1774729790.1517003; Key.space; keyup
1774729790.2210867; w; keydown
1774729790.2825627; w; keyup
1774729790.9521172; Key.backspace; keydown
1774729791.0517714; Key.backspace; keyup
1774729791.390271; b; keydown
1774729791.4739532; b; keyup
1774729791.5596042; r; keydown
1774729791.6108015; r; keyup
1774729791.7921183; z; keydown
1774729791.918609; m; keydown
1774729791.9936035; z; keyup
1774729792.0304773; m; keyup
1774729792.0716484; i; keydown
1774729792.1764388; i; keyup
1774729793.0701044; Key.space; keydown
1774729793.23306; Key.space; keyup
1774729793.2949362; w; keydown
1774729793.4078515; w; keyup
1774729793.4666936; Key.space; keydown
1774729793.560214; Key.space; keyup
1774729794.233366; t; keydown
1774729794.2634761; t; keyup
1774729794.5051036; r; keydown
1774729794.6382623; r; keyup
1774729794.8464324; z; keydown
1774729794.9763894; z; keyup
1774729795.1195028; c; keydown
1774729795.227537; c; keyup
1774729795.284639; i; keydown
1774729795.3563936; i; keyup
1774729795.4639814; n; keydown
1774729795.5395548; n; keyup
1774729795.5979877; i; keydown
1774729795.665805; i; keyup
1774729795.7064264; e; keydown
1774729795.8006198; e; keyup
1774729797.1655903; .; keydown
1774729797.2372653; .; keyup
1774729798.017283; Key.enter; keydown
1774729798.0804813; Key.enter; keyup
1774729799.2227736; Key.shift; keydown
1774729799.517622; B; keydown
1774729799.5878458; B; keyup
1774729799.662619; Key.shift; keyup
1774729799.7732842; i; keydown
1774729799.8380213; i; keyup
1774729799.9415238; o; keydown
1774729800.0073829; o; keyup
1774729800.1539056; m; keydown
1774729800.22976; m; keyup
1774729800.7792513; e; keydown
1774729800.9277656; e; keyup
1774729801.2933455; r; keydown
1774729801.419939; r; keyup
1774729801.4872656; i; keydown
1774729801.5468616; i; keyup
1774729801.7205663; a; keydown
1774729801.7896562; a; keyup
1774729801.962538; Key.space; keydown
1774729802.0909195; Key.space; keyup
1774729802.931211; b; keydown
1774729802.9979825; b; keyup
1774729803.2162979; e; keydown
1774729803.2609377; e; keyup
1774729803.5251155; h; keydown
1774729803.5902436; h; keyup
1774729803.681302; a; keydown
1774729803.7872803; a; keyup
1774729804.108461; w; keydown
1774729804.22992; w; keyup
1774729804.2929535; i; keydown
1774729804.35609; i; keyup
1774729804.4483476; o; keydown
1774729804.5153592; o; keyup
1774729804.5363135; r; keydown
1774729804.6290717; r; keyup
1774729804.7444165; a; keydown
1774729804.835901; a; keyup
1774729804.8419228; l; keydown
1774729804.8849723; l; keyup
1774729805.0472686; n; keydown
1774729805.112869; n; keyup
1774729805.2410278; a; keydown
1774729805.3240426; a; keyup
1774729805.9535332; Key.space; keydown
1774729806.058012; Key.space; keyup
1774729806.6819148; j; keydown
1774729806.7530768; j; keyup
1774729806.8154554; e; keydown
1774729806.8702326; e; keyup
1774729807.0052094; s; keydown
1774729807.1112342; t; keydown
1774729807.1256785; s; keyup
1774729807.1810677; t; keyup
1774729807.9173045; Key.space; keydown
1774729808.0948017; Key.space; keyup
1774729808.4104097; b; keydown
1774729808.4934819; b; keyup
1774729808.5213487; a; keydown
1774729808.631813; a; keyup
1774729808.8008974; r; keydown
1774729808.8641117; r; keyup
1774729808.966082; d; keydown
1774729809.0771892; d; keyup
1774729809.1535392; z; keydown
1774729809.2577267; z; keyup
1774729809.2604458; o; keydown
1774729809.3519568; o; keyup
1774729809.7093935; Key.space; keydown
1774729809.8137562; Key.space; keyup
1774729810.2564058; c; keydown
1774729810.3834462; c; keyup
1774729810.3941514; i; keydown
1774729810.4589899; i; keyup
1774729810.51192; e; keydown
1774729810.6161087; e; keyup
1774729810.6573517; k; keydown
1774729810.7097259; k; keyup
1774729810.7783206; a; keydown
1774729810.8816202; a; keyup
1774729810.9587128; w; keydown
1774729811.0215766; w; keyup
1774729811.1275616; a; keydown
1774729811.260737; a; keyup
1774729811.8222148; .; keydown
1774729811.8879786; .; keyup
1774729812.3778696; Key.enter; keydown
1774729812.4376092; Key.enter; keyup
1774729813.8941548; Key.shift; keydown
1774729814.2912693; P; keydown
1774729814.3879762; P; keyup
1774729814.3974035; Key.shift; keyup
1774729814.670061; Key.ctrl_l; keydown
1774729814.6708646; Key.alt_gr; keydown
1774729814.8076544; ó; keydown
