1774731254.942999; Key.shift; keydown
1774731255.2265942; W; keydown
1774731255.3285213; W; keyup
1774731255.339863; Key.shift; keyup
1774731255.5466812; Key.space; keydown
1774731255.6354635; Key.shift; keydown
1774731255.6412303; Key.space; keyup
1774731255.745351; S; keydown
1774731255.8445683; Key.shift; keyup
1774731255.8692007; s; keyup
1774731256.0801816; z; keydown
1774731256.2159598; z; keyup
1774731256.3382423; c; keydown
1774731256.4243; z; keydown
1774731256.4845912; c; keyup
1774731256.5595415; z; keyup
1774731256.8335772; e; keydown
1774731256.936861; e; keyup
1774731257.1496587; b; keydown
1774731257.2732105; b; keyup
1774731257.3975499; r; keydown
1774731257.4742365; r; keyup
1774731257.6927876; z; keydown
1774731257.810686; z; keyup
1774731257.873873; e; keydown
1774731257.9685848; e; keyup
1774731258.3063426; s; keydown
1774731258.497282; s; keyup
1774731258.881219; y; keydown
1774731258.9924295; y; keyup
1774731259.4032216; Key.backspace; keydown
1774731259.4826427; Key.backspace; keyup
1774731259.5147576; z; keydown
1774731259.6495423; z; keyup
1774731259.7009623; y; keydown
1774731259.8163927; y; keyup
1774731260.092532; i; keydown
1774731260.105888; n; keydown
1774731260.2165196; n; keyup
1774731260.2643747; i; keyup
1774731260.6323051; Key.backspace; keydown
1774731260.6947575; Key.backspace; keyup
1774731260.767038; Key.backspace; keydown
1774731260.8253882; Key.backspace; keyup
1774731261.1844985; n; keydown
1774731261.3552794; n; keyup
1774731261.406529; i; keydown
1774731261.5144389; i; keyup
1774731261.5259302; e; keydown
1774731261.620907; e; keyup
1774731261.8006167; Key.space; keydown
1774731261.9263637; Key.space; keyup
1774731262.3705513; c; keydown
1774731262.4961007; c; keyup
1774731262.5271091; h; keydown
1774731262.612562; h; keyup
1774731262.8039932; r; keydown
1774731262.9223197; r; keyup
1774731263.086858; z; keydown
1774731263.2390203; z; keyup
1774731263.298395; Key.ctrl_l; keydown
1774731263.2993305; Key.alt_gr; keydown
1774731263.4078686; ą; keydown
1774731263.5422826; ą; keyup
1774731263.8253071; ś; keydown
1774731263.9011812; ż; keydown
1774731263.9431913; ś; keyup
1774731263.986522; ż; keyup
1774731264.021439; Key.ctrl_l; keyup
1774731264.022254; Key.alt_gr; keyup
1774731264.2680223; Key.backspace; keydown
1774731264.3115497; Key.backspace; keyup
1774731264.4058464; Key.backspace; keydown
1774731264.469741; Key.backspace; keyup
1774731264.520173; s; keydown
1774731264.5809317; z; keydown
1774731264.6463842; s; keyup
1774731264.6890123; z; keyup
1774731265.1651552; c; keydown
1774731265.2350636; z; keydown
1774731265.362055; c; keyup
1774731265.4066129; z; keyup
1774731265.5047617; Key.space; keydown
1774731265.5733678; Key.space; keyup
1774731265.736967; b; keydown
1774731265.8666897; b; keyup
1774731265.9509225; r; keydown
1774731266.0629842; z; keydown
1774731266.1338508; r; keyup
1774731266.2036235; z; keyup
1774731266.331224; m; keydown
1774731266.4107594; i; keydown
1774731266.4458566; m; keyup
1774731266.518764; i; keyup
1774731266.6242838; Key.space; keydown
1774731266.7093263; Key.space; keyup
1774731266.7586343; w; keydown
1774731266.8591902; Key.space; keydown
1774731266.8678107; w; keyup
1774731266.941871; Key.space; keyup
1774731267.3806689; t; keydown
1774731267.4622374; t; keyup
1774731267.592307; r; keydown
1774731267.683558; r; keyup
1774731267.7091107; z; keydown
1774731267.8222294; z; keyup
1774731267.9637907; c; keydown
1774731268.061495; c; keyup
1774731268.1440873; i; keydown
1774731268.2485907; i; keyup
1774731268.3302746; n; keydown
1774731268.4602687; i; keydown
1774731268.5202742; n; keyup
1774731268.5957174; i; keyup
1774731268.860399; e; keydown
1774731268.9517493; e; keyup
1774731269.3788476; .; keydown
1774731269.450198; .; keyup
1774731269.686676; Key.enter; keydown
1774731269.7674735; Key.enter; keyup
1774731270.5443869; Key.shift; keydown
1774731270.826522; B; keydown
1774731270.9129663; B; keyup
1774731270.9647079; Key.shift; keyup
1774731271.1425076; i; keydown
1774731271.2209759; i; keyup
1774731271.3381565; o; keydown
1774731271.4292977; o; keyup
1774731271.5342393; m; keydown
1774731271.6672108; m; keyup
1774731271.678721; e; keydown
1774731271.7968426; e; keyup
1774731272.2141228; t; keydown
1774731272.3042533; t; keyup
1774731272.4139109; r; keydown
1774731272.4742067; r; keyup
1774731272.681649; i; keydown
1774731272.7709591; i; keyup
1774731273.0483387; a; keydown
1774731273.1458488; a; keyup
1774731273.342536; Key.space; keydown
1774731273.4058535; Key.space; keyup
1774731273.9000645; b; keydown
1774731273.9766748; b; keyup
1774731274.0866315; e; keydown
1774731274.1795225; e; keyup
1774731274.2814; h; keydown
1774731274.3501415; h; keyup
1774731274.4480832; a; keydown
1774731274.5536828; a; keyup
1774731274.709736; w; keydown
1774731274.7677937; w; keyup
1774731275.2085688; i; keydown
1774731275.348127; i; keyup
1774731275.5330343; o; keydown
1774731275.6489263; o; keyup
1774731275.7807117; r; keydown
1774731275.8186944; r; keyup
1774731276.314034; l; keydown
1774731276.3830712; l; keyup
1774731276.9024522; Key.backspace; keydown
1774731276.9923306; Key.backspace; keyup
1774731277.1809359; a; keydown
1774731277.3104186; a; keyup
1774731277.3718941; l; keydown
1774731277.4269543; l; keyup
1774731277.8425097; n; keydown
1774731277.9458148; n; keyup
1774731277.9711006; a; keydown
1774731278.0843801; a; keyup
1774731278.4001548; Key.space; keydown
1774731278.4717321; Key.space; keyup
1774731279.0670118; j; keydown
1774731279.1527383; e; keydown
1774731279.158403; j; keyup
1774731279.3087475; e; keyup
1774731280.141539; s; keydown
1774731280.267164; t; keydown
1774731280.2732785; s; keyup
1774731280.3612149; t; keyup
1774731280.6793008; Key.space; keydown
1774731280.7564535; Key.space; keyup
1774731281.2740567; b; keydown
1774731281.3762703; b; keyup
1774731281.3891873; a; keydown
1774731281.5090158; a; keyup
1774731281.7410836; r; keydown
1774731281.8529487; r; keyup
1774731282.0541413; d; keydown
1774731282.0874546; z; keydown
1774731282.2185774; d; keyup
1774731282.263706; z; keyup
1774731283.049078; o; keydown
1774731283.2076316; o; keyup
1774731283.2404156; Key.space; keydown
1774731283.3560786; Key.space; keyup
1774731283.4252183; c; keydown
1774731283.5082116; c; keyup
1774731283.6326902; i; keydown
1774731283.730763; i; keyup
1774731283.832761; e; keydown
1774731283.9430242; e; keyup
1774731284.0629358; k; keydown
1774731284.1548736; k; keyup
1774731284.7301326; a; keydown
1774731284.8316388; a; keyup
1774731284.91603; w; keydown
1774731285.012733; a; keydown
1774731285.0873828; w; keyup
1774731285.1541853; a; keyup
1774731285.7815666; .; keydown
1774731285.8758783; .; keyup
1774731286.4503584; Key.enter; keydown
1774731286.5256343; Key.enter; keyup
1774731287.1350188; Key.shift; keydown
1774731287.5768611; P; keydown
1774731287.6884024; P; keyup
1774731287.7637703; Key.shift; keyup
1774731287.8899844; Key.ctrl_l; keydown
1774731287.8910582; Key.alt_gr; keydown
1774731287.984287; ó; keydown
1774731288.0939066; ó; keyup
1774731288.2492325; Key.ctrl_l; keyup
1774731288.250287; Key.alt_gr; keyup
1774731288.7169976; Key.ctrl_l; keydown
1774731288.7179315; Key.alt_gr; keydown
1774731288.9012694; ź; keydown
1774731289.0273805; ź; keyup
1774731289.157015; Key.ctrl_l; keyup
1774731289.1587298; Key.alt_gr; keyup
1774731289.5858626; n; keydown
1774731289.7351475; i; keydown
1774731289.8114657; n; keyup
1774731289.885309; i; keyup
1774731290.0403333; e; keydown
1774731290.127774; e; keyup
1774731290.2017326; j; keydown
1774731290.3380556; Key.space; keydown
1774731290.3457878; j; keyup
1774731290.4522731; Key.space; keyup
1774731290.5751624; w; keydown
1774731290.6946154; w; keyup
1774731290.7242532; Key.ctrl_l; keydown
1774731290.7249048; Key.alt_gr; keydown
1774731290.933525; ł; keydown
1774731291.0635078; ł; keyup
1774731291.238254; ą; keydown
1774731291.3576407; ą; keyup
1774731291.436586; Key.ctrl_l; keyup
1774731291.4375014; Key.alt_gr; keyup
1774731291.7313426; c; keydown
1774731291.7776434; z; keydown
1774731291.8752952; c; keyup
1774731291.9312098; z; keyup
1774731292.0874305; Key.space; keydown
1774731292.1850803; Key.space; keyup
1774731292.4441254; t; keydown
1774731292.521235; t; keyup
1774731292.722001; Key.ctrl_l; keydown
1774731292.7230027; Key.alt_gr; keydown
1774731292.8860948; ę; keydown
1774731293.027697; Key.ctrl_l; keyup
1774731293.0287414; Key.alt_gr; keyup
1774731293.0349693; e; keyup
1774731293.4192643; s; keydown
1774731293.558225; s; keyup
1774731293.9386177; =; keydown
1774731294.0110419; =; keyup
1774731294.177012; Key.space; keydown
1774731294.2753015; Key.space; keyup
1774731294.7378373; Key.backspace; keydown
1774731294.7776175; Key.backspace; keyup
1774731294.892697; Key.backspace; keydown
1774731294.9497523; Key.backspace; keyup
1774731295.0313177; Key.backspace; keydown
1774731295.0924404; Key.backspace; keyup
1774731295.5276663; Key.space; keydown
1774731295.673738; Key.space; keyup
1774731295.7669628; s; keydown
1774731295.8950706; s; keyup
1774731295.9093904; i; keydown
1774731295.99452; i; keyup
1774731296.1358407; e; keydown
1774731296.241751; e; keyup
1774731296.3790061; Key.ctrl_l; keydown
1774731296.3800676; Key.alt_gr; keydown
1774731296.4779592; ć; keydown
1774731296.5884995; ć; keyup
1774731296.6929634; Key.ctrl_l; keyup
1774731296.6939192; Key.alt_gr; keyup
1774731297.277225; ,; keydown
1774731297.345724; ,; keyup
1774731297.582282; Key.space; keydown
1774731297.685814; Key.space; keyup
1774731298.1532276; p; keydown
1774731298.2557273; p; keyup
1774731298.4837673; r; keydown
1774731298.5906022; z; keydown
1774731298.728522; r; keyup
1774731298.8527012; z; keyup
1774731299.178109; e; keydown
1774731299.357685; e; keyup
1774731299.4571617; m; keydown
1774731299.5385447; m; keyup
1774731299.695126; y; keydown
1774731299.7732964; y; keyup
1774731299.9692507; Key.ctrl_l; keydown
1774731299.970664; Key.alt_gr; keydown
1774731300.0727708; ś; keydown
1774731300.2186377; ś; keyup
1774731300.3716943; Key.ctrl_l; keyup
1774731300.3729658; Key.alt_gr; keyup
1774731300.52777; l; keydown
1774731300.647286; l; keyup
1774731300.7348566; Key.space; keydown
1774731300.844358; Key.space; keyup
1774731301.0725725; b; keydown
1774731301.162625; b; keyup
1774731301.3302987; Key.ctrl_l; keydown
1774731301.3311265; Key.alt_gr; keydown
1774731301.418843; ł; keydown
1774731301.521183; ł; keyup
1774731301.69387; ą; keydown
1774731301.8490005; ą; keyup
1774731301.9447181; Key.ctrl_l; keyup
1774731301.9470892; Key.alt_gr; keyup
1774731302.0841024; d; keydown
1774731302.2045639; d; keyup
1774731302.8821793; ,; keydown
1774731302.967232; ,; keyup
1774731303.0794904; Key.space; keydown
1774731303.1580577; Key.space; keyup
1774731303.2764506; c; keydown
1774731303.370621; h; keydown
1774731303.3844202; c; keyup
1774731303.446235; h; keyup
1774731303.638219; Key.ctrl_l; keydown
1774731303.6395788; Key.alt_gr; keydown
1774731303.775159; ł; keydown
1774731303.8808396; Key.ctrl_l; keyup
1774731303.8840146; Key.alt_gr; keyup
1774731303.9106665; l; keyup
1774731304.0260506; o; keydown
1774731304.1256008; o; keyup
1774731304.252845; n; keydown
1774731304.4668946; n; keyup
1774731304.6844342; Key.backspace; keydown
1774731304.7545729; Key.backspace; keyup
1774731304.9355814; Key.ctrl_l; keydown
1774731304.9363942; Key.alt_gr; keydown
1774731305.1438854; ń; keydown
1774731305.2107542; Key.ctrl_l; keyup
1774731305.2119024; Key.alt_gr; keyup
1774731305.288311; n; keyup
1774731305.349933; Key.space; keydown
1774731305.4345574; Key.space; keyup
1774731305.6101365; d; keydown
1774731305.691192; d; keyup
1774731305.924538; Key.ctrl_l; keydown
1774731305.9253683; Key.alt_gr; keydown
1774731306.1482816; ź; keydown
1774731306.2429676; ź; keyup
1774731306.253664; Key.ctrl_l; keyup
1774731306.2547398; Key.alt_gr; keyup
1774731306.4082403; w; keydown
1774731306.487492; w; keyup
1774731306.5296283; i; keydown
1774731306.6296809; i; keyup
1774731306.6682777; Key.ctrl_l; keydown
