1774731191.141866; Key.shift; keydown
1774731191.5129104; Key.shift; keyup
1774731193.2539387; Key.shift; keydown
1774731193.6914234; W; keydown
1774731193.8191044; W; keyup
1774731193.8303192; Key.shift; keyup
1774731193.9742296; Key.space; keydown
1774731194.0171456; Key.space; keyup
1774731194.2996325; Key.shift; keydown
1774731194.376438; S; keydown
1774731194.442407; S; keyup
1774731194.4522083; Key.shift; keyup
1774731194.7724032; z; keydown
1774731194.895871; z; keyup
1774731195.017646; c; keydown
1774731195.1122694; z; keydown
1774731195.1535735; c; keyup
1774731195.2288053; z; keyup
1774731195.3003702; e; keydown
1774731195.4096599; e; keyup
1774731195.472063; b; keydown
1774731195.5520582; b; keyup
1774731195.6471157; r; keydown
1774731195.7652915; z; keydown
1774731195.7842612; r; keyup
1774731195.917814; z; keyup
1774731195.9370809; e; keydown
1774731196.0251114; e; keyup
1774731196.1426878; s; keydown
1774731196.2162392; z; keydown
1774731196.2675877; s; keyup
1774731196.3184052; y; keydown
1774731196.3572571; z; keyup
1774731196.4302235; y; keyup
1774731196.505594; n; keydown
1774731196.6469476; i; keydown
1774731196.6814613; n; keyup
1774731196.7611444; e; keydown
1774731196.792316; i; keyup
1774731196.8588; Key.space; keydown
1774731196.86758; e; keyup
1774731196.9375286; Key.space; keyup
1774731197.0234249; c; keydown
1774731197.1512182; c; keyup
1774731197.1582572; h; keydown
1774731197.2337608; h; keyup
1774731197.3388395; r; keydown
1774731197.407947; z; keydown
1774731197.4847636; r; keyup
1774731197.5542052; z; keyup
1774731197.633929; Key.ctrl_l; keydown
1774731197.6350288; Key.alt_gr; keydown
1774731198.1053717; Key.ctrl_l; keyup
1774731198.1069014; Key.alt_gr; keyup
1774731198.2295606; Key.ctrl_l; keydown
1774731198.230529; Key.alt_gr; keydown
1774731198.3025289; ą; keydown
1774731198.3853621; ą; keyup
1774731198.5491552; Key.ctrl_l; keyup
1774731198.5503843; Key.alt_gr; keyup
1774731198.7892632; z; keydown
1774731198.8849943; z; keyup
1774731199.2696888; s; keydown
1774731199.3860762; z; keydown
1774731199.445801; s; keyup
1774731199.487083; z; keyup
1774731199.783097; Key.backspace; keydown
1774731199.8461568; Key.backspace; keyup
1774731200.336821; Key.backspace; keydown
1774731200.3671222; Key.backspace; keyup
1774731200.4611113; Key.backspace; keydown
1774731200.530889; Key.backspace; keyup
1774731200.7113507; s; keydown
1774731200.7890797; z; keydown
1774731200.8469453; s; keyup
1774731200.9151456; z; keyup
1774731201.18048; c; keydown
1774731201.2793057; z; keydown
1774731201.3101177; c; keyup
1774731201.4055965; z; keyup
1774731201.700875; Key.space; keydown
1774731201.7788746; Key.space; keyup
1774731202.0755818; v; keydown
1774731202.1276522; v; keyup
1774731202.4770806; Key.backspace; keydown
1774731202.5442011; Key.backspace; keyup
1774731202.7426424; b; keydown
1774731202.8174403; b; keyup
1774731202.8914747; r; keydown
1774731202.9652934; z; keydown
1774731203.041756; r; keyup
1774731203.1358473; z; keyup
1774731203.274122; m; keydown
1774731203.3595288; i; keydown
1774731203.390099; m; keyup
1774731203.4907649; i; keyup
1774731203.9128923; w; keydown
1774731204.0423145; Key.space; keydown
1774731204.0504408; w; keyup
1774731204.1144304; Key.space; keyup
1774731204.3687994; Key.backspace; keydown
1774731204.4230697; Key.backspace; keyup
1774731204.501296; Key.backspace; keydown
1774731204.5742486; Key.backspace; keyup
1774731204.7355723; Key.space; keydown
1774731204.8284092; Key.space; keyup
1774731204.8505268; w; keydown
1774731204.9350832; Key.space; keydown
1774731204.9788458; w; keyup
1774731205.0216143; Key.space; keyup
1774731205.5006652; t; keydown
1774731205.571164; t; keyup
1774731205.702852; r; keydown
1774731205.7854435; r; keyup
1774731205.94034; z; keydown
1774731206.025795; z; keyup
1774731206.7698624; c; keydown
1774731206.851192; c; keyup
1774731207.1482468; i; keydown
1774731207.232176; i; keyup
1774731207.4419024; i; keydown
1774731207.56779; i; keyup
1774731207.6292615; e; keydown
1774731207.6680949; e; keyup
1774731208.0052533; Key.backspace; keydown
1774731208.0479043; Key.backspace; keyup
1774731208.13903; Key.backspace; keydown
1774731208.2097049; Key.backspace; keyup
1774731208.6379023; n; keydown
1774731208.6941898; i; keydown
1774731208.7611284; n; keyup
1774731208.8208668; i; keyup
1774731208.847811; e; keydown
1774731208.9326506; e; keyup
1774731209.4903004; .; keydown
1774731209.5417035; .; keyup
1774731209.9943783; Key.enter; keydown
1774731210.031728; Key.enter; keyup
1774731210.901122; Key.shift; keydown
1774731211.1848056; B; keydown
1774731211.3053176; B; keyup
1774731211.3183286; Key.shift; keyup
1774731211.49163; i; keydown
1774731211.5868323; i; keyup
1774731211.7306793; o; keydown
1774731211.8463323; m; keydown
1774731211.8519561; o; keyup
1774731211.936264; m; keyup
1774731212.39952; e; keydown
1774731212.5351462; e; keyup
1774731212.6672616; t; keydown
1774731212.7335916; t; keyup
1774731212.80874; r; keydown
1774731212.9091218; r; keyup
1774731213.0518372; i; keydown
1774731213.1396813; i; keyup
1774731213.342612; Key.space; keydown
1774731213.406732; Key.space; keyup
1774731213.7385304; Key.backspace; keydown
1774731213.7935731; Key.backspace; keyup
1774731213.8787076; a; keydown
1774731213.9938133; a; keyup
1774731214.006659; Key.space; keydown
1774731214.0829217; Key.space; keyup
1774731214.4442215; b; keydown
1774731214.4871504; b; keyup
1774731214.5741894; e; keydown
1774731214.6727965; e; keyup
1774731214.7609518; h; keydown
1774731214.8375404; h; keyup
1774731214.8686488; a; keydown
1774731214.990427; a; keyup
1774731215.1316607; w; keydown
1774731215.2439175; w; keyup
1774731215.273392; i; keydown
1774731215.3224976; i; keyup
1774731215.5513332; o; keydown
