1774730402.5467207; Key.shift; keydown
1774730402.8128347; W; keydown
1774730402.93077; W; keyup
1774730402.985061; Key.shift; keyup
1774730403.2196171; Key.space; keydown
1774730403.3113933; Key.space; keyup
1774730403.4873943; Key.shift; keydown
1774730403.654205; S; keydown
1774730403.7620292; S; keyup
1774730403.777969; Key.shift; keyup
1774730403.9201865; z; keydown
1774730404.0220892; z; keyup
1774730404.1442752; c; keydown
1774730404.2679663; z; keydown
1774730404.3265612; c; keyup
1774730404.3944066; z; keyup
1774730404.5133939; e; keydown
1774730404.591561; e; keyup
1774730404.728757; b; keydown
1774730404.8281944; b; keyup
1774730404.8919876; r; keydown
1774730404.981764; r; keyup
1774730405.104527; z; keydown
1774730405.2031465; z; keyup
1774730405.325845; e; keydown
1774730405.4051194; e; keyup
1774730405.5422692; s; keydown
1774730405.626661; s; keyup
1774730405.772446; z; keydown
1774730405.8483636; z; keyup
1774730405.9508815; y; keydown
1774730406.0300004; y; keyup
1774730406.2828135; n; keydown
1774730406.4053261; i; keydown
1774730406.4695172; n; keyup
1774730406.5357475; i; keyup
1774730406.616193; e; keydown
1774730406.7136843; e; keyup
1774730406.8175187; Key.space; keydown
1774730406.90558; Key.space; keyup
1774730407.1913228; c; keydown
1774730407.2662437; c; keyup
1774730407.3496206; h; keydown
1774730407.4245806; h; keyup
1774730407.577857; r; keydown
1774730407.6478138; r; keyup
1774730407.794142; z; keydown
1774730407.8861194; z; keyup
1774730408.02637; Key.ctrl_l; keydown
1774730408.0271394; Key.alt_gr; keydown
1774730408.2760468; ą; keydown
1774730408.3578196; ą; keyup
1774730408.4153535; Key.ctrl_l; keyup
1774730408.4162369; Key.alt_gr; keyup
1774730409.241145; s; keydown
1774730409.3228712; s; keyup
1774730409.4807267; z; keydown
1774730409.6061604; z; keyup
1774730409.991296; c; keydown
1774730410.11101; z; keydown
1774730410.159499; c; keyup
1774730410.2347243; z; keyup
1774730410.365063; Key.space; keydown
1774730410.458642; Key.space; keyup
1774730410.5876122; b; keydown
1774730410.6700757; b; keyup
1774730410.8080332; r; keydown
1774730410.9709108; r; keyup
1774730411.1190617; z; keydown
1774730411.2200441; z; keyup
1774730411.3080087; m; keydown
1774730411.3888373; m; keyup
1774730411.5102417; i; keydown
1774730411.5813937; i; keyup
1774730411.6186602; Key.space; keydown
1774730411.714332; Key.space; keyup
1774730411.8892245; w; keydown
1774730412.015518; Key.space; keydown
1774730412.0409799; w; keyup
1774730412.156693; Key.space; keyup
1774730412.3643913; t; keydown
1774730412.4270916; t; keyup
1774730412.5263038; r; keydown
1774730412.605341; r; keyup
1774730412.731209; z; keydown
1774730412.8249242; z; keyup
1774730412.9567726; c; keydown
1774730413.0363379; c; keyup
1774730413.1114256; i; keydown
1774730413.1823103; i; keyup
1774730413.258791; e; keydown
1774730413.330805; e; keyup
1774730414.657613; Key.backspace; keydown
1774730414.7572021; Key.backspace; keyup
1774730415.0563807; n; keydown
1774730415.1720996; i; keydown
1774730415.2385643; n; keyup
1774730415.285515; i; keyup
1774730415.3471258; e; keydown
1774730415.4547517; e; keyup
1774730416.1730921; .; keydown
1774730416.2650337; .; keyup
1774730417.440529; Key.enter; keydown
1774730417.5262678; Key.enter; keyup
1774730418.506311; Key.shift; keydown
1774730418.7047958; B; keydown
1774730418.796188; B; keyup
1774730418.879527; Key.shift; keyup
1774730419.0426815; i; keydown
1774730419.1151886; i; keyup
1774730419.1990085; o; keydown
1774730419.2737134; o; keyup
1774730419.3759015; m; keydown
1774730419.4435396; m; keyup
1774730419.504573; e; keydown
1774730419.6126273; e; keyup
1774730419.790241; t; keydown
1774730419.8550718; t; keyup
1774730419.9595263; r; keydown
1774730420.0451314; r; keyup
1774730420.1719055; i; keydown
1774730420.2476556; i; keyup
1774730420.3308573; a; keydown
1774730420.3981755; a; keyup
1774730420.502717; Key.space; keydown
1774730420.5772598; Key.space; keyup
1774730420.7004917; b; keydown
1774730420.7679973; b; keyup
1774730420.8591802; e; keydown
1774730420.9358308; e; keyup
1774730421.0541918; h; keydown
1774730421.1242113; h; keyup
1774730422.179427; a; keydown
1774730422.283929; a; keyup
1774730422.7160413; w; keydown
1774730422.8040006; w; keyup
1774730422.9097176; i; keydown
1774730422.9766037; i; keyup
1774730423.102923; o; keydown
1774730423.185228; o; keyup
1774730423.3159873; r; keydown
1774730423.4295616; r; keyup
1774730423.525134; a; keydown
1774730423.6455061; a; keyup
1774730423.7550118; l; keydown
1774730423.8501148; l; keyup
