1774730255.5421255; Key.shift; keydown
1774730255.767993; W; keydown
1774730255.8875427; W; keyup
1774730255.9465501; Key.shift; keyup
1774730256.231377; Key.space; keydown
1774730256.3254883; Key.space; keyup
1774730256.7316618; Key.shift; keydown
1774730256.940945; S; keydown
1774730257.066802; S; keyup
1774730257.0985065; Key.shift; keyup
1774730257.3175561; z; keydown
1774730257.4210057; z; keyup
1774730257.5845976; c; keydown
1774730257.6937764; z; keydown
1774730257.7271583; c; keyup
1774730257.8210604; z; keyup
1774730257.9860258; e; keydown
1774730258.071602; e; keyup
1774730258.355343; b; keydown
1774730258.466617; b; keyup
1774730258.5192266; r; keydown
1774730258.607595; r; keyup
1774730258.7398975; z; keydown
1774730258.8635473; z; keyup
1774730258.9739656; e; keydown
1774730259.055064; e; keyup
1774730259.1867259; s; keydown
1774730259.2687197; s; keyup
1774730259.4107518; z; keydown
1774730259.4993067; z; keyup
1774730259.5805314; y; keydown
1774730259.6657038; y; keyup
1774730259.921696; n; keydown
1774730260.05073; i; keydown
1774730260.1364677; n; keyup
1774730260.2011123; i; keyup
1774730260.2065141; e; keydown
1774730260.2976954; e; keyup
1774730260.6207051; Key.space; keydown
1774730260.7474217; Key.space; keyup
1774730261.614421; c; keydown
1774730261.7137973; c; keyup
1774730261.8085058; h; keydown
1774730261.889803; h; keyup
1774730262.2153633; r; keydown
1774730262.2930605; r; keyup
1774730262.6239436; z; keydown
1774730262.7372599; z; keyup
1774730262.8979108; Key.ctrl_l; keydown
1774730262.8995955; Key.alt_gr; keydown
1774730263.1737998; ą; keydown
1774730263.2842069; ą; keyup
1774730263.3278508; Key.ctrl_l; keyup
1774730263.328577; Key.alt_gr; keyup
1774730263.4385746; s; keydown
1774730263.5211053; s; keyup
1774730263.6707776; z; keydown
1774730263.760404; z; keyup
1774730263.958657; c; keydown
1774730264.100544; z; keydown
1774730264.110873; c; keyup
1774730264.2683098; z; keyup
1774730264.4535847; Key.space; keydown
1774730264.5589511; Key.space; keyup
1774730264.7822723; b; keydown
1774730264.8513227; b; keyup
1774730264.9950435; r; keydown
1774730265.0677342; r; keyup
1774730265.4916608; z; keydown
1774730265.586708; z; keyup
1774730266.0337698; m; keydown
1774730266.1282964; m; keyup
1774730266.2579663; i; keydown
1774730266.334086; i; keyup
1774730266.4074955; Key.space; keydown
1774730266.4892282; Key.space; keyup
1774730266.902656; w; keydown
1774730266.9958158; w; keyup
1774730267.4198854; Key.space; keydown
1774730267.5250828; Key.space; keyup
1774730267.90515; t; keydown
1774730267.9953265; t; keyup
1774730268.1392653; r; keydown
1774730268.2239282; r; keyup
1774730268.4081948; z; keydown
1774730268.5123086; z; keyup
1774730268.687264; c; keydown
1774730268.7725997; c; keyup
1774730268.9090576; i; keydown
1774730268.9789886; i; keyup
1774730269.1471984; n; keydown
1774730269.272507; i; keydown
1774730269.3281002; n; keyup
1774730269.3906658; i; keyup
1774730269.4666903; e; keydown
1774730269.570888; e; keyup
1774730269.8229527; .; keydown
1774730269.935649; .; keyup
1774730270.7005053; Key.enter; keydown
1774730270.769366; Key.enter; keyup
1774730271.6406622; Key.shift; keydown
1774730271.8810675; B; keydown
1774730271.9818158; B; keyup
1774730272.0402102; Key.shift; keyup
1774730272.2199793; i; keydown
1774730272.2782853; i; keyup
1774730272.374943; o; keydown
1774730272.4564645; o; keyup
1774730272.5840895; m; keydown
1774730272.6673758; m; keyup
1774730272.7788358; e; keydown
1774730272.8728976; e; keyup
1774730273.0607996; t; keydown
1774730273.1255116; t; keyup
1774730273.2310295; r; keydown
1774730273.3062615; r; keyup
1774730273.515667; i; keydown
1774730273.593665; i; keyup
1774730273.672075; a; keydown
1774730273.7603085; a; keyup
1774730273.8692188; Key.space; keydown
1774730273.9338362; Key.space; keyup
1774730274.076592; b; keydown
1774730274.1532466; b; keyup
1774730274.2708564; e; keydown
1774730274.3435237; e; keyup
1774730274.4595876; h; keydown
1774730274.5227723; h; keyup
1774730274.5790162; a; keydown
1774730274.6801164; a; keyup
1774730274.8016095; w; keydown
1774730274.8715904; w; keyup
1774730275.0105212; i; keydown
1774730275.0716312; i; keyup
1774730275.1782272; o; keydown
1774730275.2487862; o; keyup
1774730275.3185482; r; keydown
1774730275.391811; r; keyup
1774730275.5685976; a; keydown
1774730275.6861017; a; keyup
1774730276.5637288; l; keydown
1774730276.6481593; l; keyup
1774730277.25539; n; keydown
1774730277.3761961; n; keyup
1774730277.4282753; a; keydown
1774730277.5446506; a; keyup
1774730277.664095; Key.space; keydown
1774730277.7543092; Key.space; keyup
1774730278.2681568; j; keydown
1774730278.3537986; j; keyup
1774730278.4236627; e; keydown
1774730278.5296924; e; keyup
1774730278.6242714; s; keydown
1774730278.7357981; s; keyup
1774730278.9028978; t; keydown
1774730278.9976048; t; keyup
1774730279.1096547; Key.space; keydown
1774730279.200557; Key.space; keyup
1774730279.4123938; b; keydown
1774730279.4990716; b; keyup
1774730279.533319; a; keydown
1774730279.6233032; a; keyup
1774730279.8193865; r; keydown
1774730279.8892508; r; keyup
1774730280.0435758; d; keydown
1774730280.164638; d; keyup
1774730280.2964816; z; keydown
1774730280.3836772; z; keyup
1774730280.5035424; o; keydown
1774730280.5892367; o; keyup
1774730280.6588502; Key.space; keydown
1774730280.7529356; Key.space; keyup
1774730281.2513204; c; keydown
1774730281.3343587; c; keyup
1774730281.5092251; i; keydown
1774730281.5823662; i; keyup
1774730281.6607347; e; keydown
1774730281.7297626; e; keyup
1774730281.8627536; k; keydown
1774730281.945963; a; keydown
1774730281.9511888; k; keyup
1774730282.0612206; a; keyup
1774730282.134291; w; keydown
1774730282.2439704; a; keydown
1774730282.2799602; w; keyup
1774730282.3822238; a; keyup
1774730283.3254688; .; keydown
1774730283.4255614; .; keyup
1774730283.7975574; Key.enter; keydown
1774730283.8827033; Key.enter; keyup
1774730284.9851193; Key.shift; keydown
1774730285.3016984; P; keydown
1774730285.3894696; P; keyup
1774730285.4899042; Key.shift; keyup
1774730285.7352135; Key.ctrl_l; keydown
1774730285.7360466; Key.alt_gr; keydown
1774730285.9685779; ó; keydown
1774730286.052166; ó; keyup
1774730286.4152532; Key.ctrl_l; keyup
1774730286.4161882; Key.alt_gr; keyup
1774730286.630384; n; keydown
1774730286.7261786; i; keydown
1774730286.7866514; n; keyup
1774730286.8366792; i; keyup
1774730286.9106636; e; keydown
1774730287.0201168; e; keyup
1774730287.1210115; j; keydown
1774730287.229071; j; keyup
1774730287.3954742; Key.space; keydown
1774730287.5184767; Key.space; keyup
1774730288.4327428; Key.backspace; keydown
1774730288.4834883; Key.backspace; keyup
1774730288.5770745; Key.backspace; keydown
1774730288.6400547; Key.backspace; keyup
1774730288.721809; Key.backspace; keydown
1774730288.7933674; Key.backspace; keyup
1774730288.899504; Key.backspace; keydown
1774730288.9814324; Key.backspace; keyup
1774730289.2335484; Key.backspace; keydown
1774730289.3376312; Key.backspace; keyup
1774730290.1050346; Key.ctrl_l; keydown
1774730290.1059165; Key.alt_gr; keydown
1774730290.385067; ź; keydown
1774730290.495493; ź; keyup
1774730290.6478472; Key.ctrl_l; keyup
1774730290.6493156; Key.alt_gr; keyup
1774730290.9757526; n; keydown
1774730291.106107; i; keydown
1774730291.1871288; n; keyup
1774730291.2503157; i; keyup
1774730291.292965; e; keydown
1774730291.3740656; e; keyup
1774730291.5112858; j; keydown
1774730291.6011734; j; keyup
1774730292.0365546; Key.space; keydown
1774730292.148306; Key.space; keyup
1774730292.8009496; w; keydown
1774730292.8964555; w; keyup
1774730293.148115; Key.ctrl_l; keydown
1774730293.149057; Key.alt_gr; keydown
1774730293.6359031; ł; keydown
1774730293.7713933; ł; keyup
1774730293.9269943; ą; keydown
1774730293.9960341; ą; keyup
1774730294.2931416; Key.ctrl_l; keyup
1774730294.2951138; Key.alt_gr; keyup
1774730294.4950485; c; keydown
1774730294.6086102; z; keydown
1774730294.6628804; c; keyup
1774730294.7619882; z; keyup
1774730294.9035811; Key.space; keydown
1774730294.9908974; Key.space; keyup
1774730295.3859594; t; keydown
1774730295.486911; t; keyup
1774730295.6952868; Key.ctrl_l; keydown
1774730295.6961153; Key.alt_gr; keydown
1774730295.897164; ę; keydown
1774730296.0004973; ę; keyup
1774730296.1039798; Key.ctrl_l; keyup
1774730296.1052191; Key.alt_gr; keyup
1774730296.2757738; Key.space; keydown
1774730296.3733597; Key.space; keyup
1774730296.7212896; s; keydown
1774730296.822336; s; keyup
1774730296.9762113; i; keydown
1774730297.0705447; i; keyup
1774730297.1644003; e; keydown
1774730297.2544122; e; keyup
1774730297.5469518; Key.ctrl_l; keydown
1774730297.5482519; Key.alt_gr; keydown
1774730297.7782588; ć; keydown
1774730297.8989067; ć; keyup
1774730297.985682; Key.ctrl_l; keyup
1774730297.9867318; Key.alt_gr; keyup
1774730298.1789627; ,; keydown
1774730298.2732203; ,; keyup
1774730298.5613854; Key.space; keydown
1774730298.646328; Key.space; keyup
1774730300.2695177; p; keydown
1774730300.3730006; p; keyup
1774730300.436072; r; keydown
1774730300.5338; r; keyup
1774730300.7653224; z; keydown
1774730300.910926; z; keyup
1774730301.1170974; e; keydown
1774730301.2209935; e; keyup
1774730301.3531501; m; keydown
1774730301.4438581; m; keyup
1774730301.6690428; y; keydown
1774730301.754894; y; keyup
1774730302.2025805; Key.ctrl_l; keydown
1774730302.2045314; Key.alt_gr; keydown
1774730302.4672115; ś; keydown
1774730302.5773451; ś; keyup
1774730302.7102656; Key.ctrl_l; keyup
1774730302.711148; Key.alt_gr; keyup
1774730303.0085132; l; keydown
1774730303.0999029; l; keyup
1774730303.1916876; Key.space; keydown
1774730303.2708387; Key.space; keyup
1774730303.5340755; b; keydown
1774730303.6386676; b; keyup
1774730303.8122985; Key.ctrl_l; keydown
1774730303.8137128; Key.alt_gr; keydown
1774730304.137643; ł; keydown
1774730304.22304; ł; keyup
1774730304.3792446; ą; keydown
1774730304.4747365; ą; keyup
1774730304.5832717; Key.ctrl_l; keyup
1774730304.584401; Key.alt_gr; keyup
1774730304.7303853; d; keydown
1774730304.8143384; d; keyup
1774730305.0001998; ,; keydown
1774730305.105517; ,; keyup
