1774730335.1824222; Key.shift; keydown
1774730335.4802244; W; keydown
1774730335.6006129; W; keyup
1774730335.6814795; Key.shift; keyup
1774730336.2921467; Key.space; keydown
1774730336.4032884; Key.space; keyup
1774730336.55301; Key.shift; keydown
1774730336.7597787; S; keydown
1774730336.8775628; S; keyup
1774730336.910256; Key.shift; keyup
1774730337.0528722; z; keydown
1774730337.1615312; z; keyup
1774730337.3364959; c; keydown
1774730337.4646387; z; keydown
1774730337.5021877; c; keyup
1774730337.604601; z; keyup
1774730337.776347; e; keydown
1774730337.870848; e; keyup
1774730338.063334; b; keydown
1774730338.1609623; b; keyup
1774730338.26561; r; keydown
1774730338.3413398; r; keyup
1774730338.5051677; z; keydown
1774730338.6432924; z; keyup
1774730338.8239825; e; keydown
1774730338.941921; e; keyup
1774730339.0811265; s; keydown
1774730339.1687546; s; keyup
1774730339.4001222; z; keydown
1774730339.5362787; z; keyup
1774730339.6309557; y; keydown
1774730339.7070978; y; keyup
1774730339.9136684; n; keydown
1774730340.0710797; i; keydown
1774730340.159637; n; keyup
1774730340.214284; i; keyup
1774730340.3111694; e; keydown
1774730340.4010372; e; keyup
1774730340.5332646; Key.space; keydown
1774730340.6486714; Key.space; keyup
1774730341.5375655; c; keydown
1774730341.6475708; c; keyup
1774730341.7772703; h; keydown
1774730341.8721497; h; keyup
1774730342.0885582; r; keydown
1774730342.163854; r; keyup
1774730342.362596; z; keydown
1774730342.4855092; z; keyup
1774730342.6135721; Key.ctrl_l; keydown
1774730342.6145492; Key.alt_gr; keydown
1774730342.8680453; ą; keydown
1774730342.9730978; ą; keyup
1774730343.0247185; Key.ctrl_l; keyup
1774730343.0254498; Key.alt_gr; keyup
1774730343.1631916; s; keydown
1774730343.2347813; s; keyup
1774730343.4089854; z; keydown
1774730343.4984226; z; keyup
1774730343.7096233; c; keydown
1774730343.8024027; z; keydown
1774730343.8620374; c; keyup
1774730343.9520688; z; keyup
1774730344.1059778; Key.space; keydown
1774730344.1802855; Key.space; keyup
1774730344.4394443; b; keydown
1774730344.5164125; b; keyup
1774730344.9120588; r; keydown
1774730345.0428073; r; keyup
1774730345.3249454; z; keydown
1774730345.4425962; z; keyup
1774730345.5353646; m; keydown
1774730345.6331217; m; keyup
1774730345.7652245; i; keydown
1774730345.8402805; i; keyup
1774730345.8963966; Key.space; keydown
1774730345.9969838; Key.space; keyup
1774730346.385099; w; keydown
1774730346.497877; w; keyup
1774730346.5897093; Key.space; keydown
1774730346.7132258; Key.space; keyup
1774730346.9618022; t; keydown
1774730347.0416725; t; keyup
1774730347.1626806; r; keydown
1774730347.2376401; r; keyup
1774730347.369654; z; keydown
1774730347.5248094; z; keyup
1774730347.637801; c; keydown
1774730347.7370386; c; keyup
1774730347.8802712; i; keydown
1774730347.9879436; i; keyup
1774730348.350162; n; keydown
1774730348.4609363; n; keyup
1774730348.5763428; i; keydown
1774730348.6605713; i; keyup
1774730348.7521672; e; keydown
1774730348.8651328; e; keyup
1774730349.906448; .; keydown
1774730350.0320158; .; keyup
1774730350.2100036; Key.enter; keydown
1774730350.3050857; Key.enter; keyup
1774730352.4915512; Key.shift; keydown
1774730352.7909806; B; keydown
1774730352.9286044; B; keyup
1774730352.9715664; Key.shift; keyup
1774730353.245118; i; keydown
1774730353.3175118; i; keyup
1774730353.4220123; o; keydown
1774730353.4978573; o; keyup
1774730353.6055832; m; keydown
1774730353.682503; m; keyup
1774730353.8066416; e; keydown
1774730353.9045496; e; keyup
1774730354.1078098; t; keydown
1774730354.1917636; t; keyup
1774730354.3279946; r; keydown
1774730354.4221458; r; keyup
1774730354.636231; i; keydown
1774730354.7202692; i; keyup
1774730354.8291743; a; keydown
1774730354.9175847; a; keyup
1774730355.0396106; Key.space; keydown
1774730355.1294491; Key.space; keyup
1774730355.2562857; b; keydown
1774730355.3345385; b; keyup
1774730355.468685; e; keydown
1774730355.5490322; e; keyup
1774730355.6911676; h; keydown
1774730355.7772427; h; keyup
1774730355.840428; a; keydown
1774730355.906052; a; keyup
1774730356.0877023; w; keydown
1774730356.1685703; w; keyup
1774730356.2746325; i; keydown
1774730356.3478374; i; keyup
1774730356.4571867; o; keydown
1774730356.531187; o; keyup
1774730356.6186173; r; keydown
1774730356.7941175; r; keyup
1774730356.7976298; a; keydown
1774730356.9121513; a; keyup
1774730357.0046833; l; keydown
1774730357.0802345; l; keyup
1774730357.210291; n; keydown
1774730357.2930048; n; keyup
1774730357.3735392; a; keydown
1774730357.4703252; a; keyup
1774730357.9497237; Key.space; keydown
1774730358.0426857; Key.space; keyup
1774730358.481338; j; keydown
1774730358.5732908; j; keyup
1774730358.697426; e; keydown
1774730358.8084595; e; keyup
1774730358.8799992; s; keydown
1774730358.9839184; s; keyup
1774730359.1614087; t; keydown
1774730359.2460375; t; keyup
1774730359.3289287; Key.space; keydown
